,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total
Arica - Parinacota ,279 ,7 ,2 ,5 ,4 ,1.74% 
Tarapaca ,198 ,15 ,15 ,O ,1 ,1.24% 
Antofagasta ,546 ,32 ,27 ,5 ,5 ,3.41% 
Atacama ,43 ,1 ,1 ,O ,0 ,0.27% 
Coquimbo ,76 ,O ,O ,O ,0 ,0.47% 
Valparaiso ,559 ,33 ,28 ,5 ,12 ,3.49% 
Metropolitana ,9625 ,736 ,650 ,86 ,110 ,60.07% 
O'Higgins ,108 ,4 ,3 ,1 ,1 ,0.67% 
Maule ,393 ,1 ,O ,1 ,13 ,2.45% 
Nuble ,768 ,7 ,7 ,O ,14 ,4.79% 
Biobio ,727 ,8 ,6 ,2 ,7 ,4.54% 
Araucania ,1293 ,20 ,18 ,2 ,35 ,8.07% 
De los Rios ,189 ,7 ,7 ,O ,4 ,1.18% 
De los Lagos ,487 ,6 ,5 ,1 ,10 ,3.04% 
Aysen ,7 ,0 ,O ,O ,0 ,0.04% 
Magallanes ,725 ,11 ,11 ,O ,11 ,4.52% 
,16023 ,888 ,780 ,108 ,227 ,100% 
