Fecha,Casostotalesacumulados,Casosactivos,CasosRecuperados,Fallecidos,Casosnuevostotales,Nuevosrecuperados,Casosnuevosconsintomas,Casosnuevossinsintomas*
15-04-2020 ,8273 ,5242 ,2937 ,94 ,356 ,291 ,356 ,
16-04-2020 ,8807 ,5403 ,3299 ,105 ,534 ,362 ,534 ,
17-04-2020 ,9252 ,5515 ,3621 ,116 ,445 ,322 ,445 ,
18-04-2020 ,9730 ,5569 ,4035 ,126 ,478 ,414 ,478 ,
19-04-2020 ,10088 ,5617 ,4338 ,133 ,358 ,303 ,358 ,
20-04-2020 ,10507 ,5692 ,4676 ,139 ,419 ,338 ,419 ,
21-04-2020 ,10832 ,5716 ,4969 ,147 ,325 ,293 ,325 ,
22-04-2020 ,11296 ,5750 ,5386 ,160 ,464 ,417 ,464 ,
23-04-2020 ,11812 ,5840 ,5804 ,168 ,516 ,418 ,516 ,
24-04-2020 ,12306 ,5805 ,6327 ,174 ,494 ,523 ,494 ,
25-04-2020 ,12858 ,5931 ,6746 ,181 ,552 ,419 ,552 ,
26-04-2020 ,13331 ,6118 ,7024 ,189 ,473 ,278 ,473 ,
27-04-2020 ,13813 ,6288 ,7327 ,198 ,482 ,303 ,482 ,
28-04-2020 ,14365 ,6448 ,7710 ,207 ,552 ,383 ,552 ,
29-04-2020 ,15135 ,6862 ,8057 ,216 ,770 ,347 ,520 ,250 
30-04-2020 ,16023 ,7216 ,8580 ,227 ,888 ,523 ,780 ,108 
01-05-2020 ,17008 ,7756 ,9018 ,234 ,985 ,438 ,882 ,103 
02-05-2020 ,18435 ,8615 ,9573 ,247 ,1427 ,555 ,1246 ,181 
03-05-2020 ,19663 ,9362 ,10041 ,260 ,1228 ,468 ,1112 ,116 
,,,,,,,,
