,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total
Arica - Parinacota ,308 ,O ,O ,O ,4 ,1.49% 
Tarapaca ,295 ,23 ,16 ,7 ,1 ,1.43% 
Antofagasta ,760 ,20 ,14 ,6 ,7 ,3.68% 
Atacama ,70 ,3 ,2 ,1 ,O ,0.34% 
Coquimbo ,91 ,3 ,1 ,2 ,O ,0.44% 
Valparaiso ,656 ,18 ,18 ,O ,13 ,3.18% 
Metropolitana ,13528 ,872 ,790 ,82 ,143 ,65.53% 
O'Higgins ,131 ,6 ,6 ,O ,3 ,0.63% 
Maule ,399 ,2 ,2 ,0 ,13 ,1.93% 
Nuble ,787 ,1 ,O ,1 ,17 ,3.81% 
Biobio ,762 ,3 ,3 ,O ,8 ,3.69% 
Araucania ,1331 ,3 ,1 ,2 ,36 ,6.45% 
De los Rios ,199 ,1 ,1 ,O ,4 ,0.96% 
De los Lagos ,524 ,7 ,5 ,2 ,10 ,2.54% 
Aysen ,7 ,0 ,0 ,0 ,0 ,0.03% 
Magallanes ,795 ,18 ,17 ,1 ,11 ,3.85% 
,,,,,,
