,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total
Arica - Parinacota ,327 ,2 ,1 ,1 ,6 ,1.26% 
Tarapaca ,459 ,42 ,5 ,37 ,1 ,1.77% 
Antofagasta ,923 ,28 ,26 ,2 ,9 ,3.55% 
Atacama ,88 ,1 ,O ,1 ,O ,0.34% 
Coquimbo ,111 ,11 ,9 ,2 ,0 ,0.43% 
Valparaiso ,828 ,47 ,38 ,9 ,18 ,3.19% 
Metropolitana ,17979 ,1151 ,1022 ,129 ,157 ,69.22% 
O'Higgins ,167 ,16 ,13 ,3 ,3 ,0.64% 
Maule ,425 ,11 ,11 ,O ,13 ,1.64% 
Nuble ,794 ,1 ,1 ,O ,18 ,3.06% 
Biobio ,842 ,28 ,20 ,8 ,8 ,3.24% 
Araucania ,1403 ,18 ,7 ,11 ,36 ,5.40% 
De los Rios ,203 ,1 ,1 ,O ,4 ,0.78% 
De los Lagos ,548 ,3 ,1 ,2 ,10 ,2.11% 
Aysen ,8 ,O ,O ,O ,O ,0.03% 
Magallanes ,867 ,31 ,28 ,3 ,11 ,3.34% 
,25972 ,1391 ,1183 ,208 ,294 ,100% 
