,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total
Arica - Parinacota ,308 ,1 ,1 ,0 ,4 ,1.57% 
Tarapaca ,272 ,60 ,54 ,6 ,1 ,1.38% 
Antofagasta ,740 ,61 ,45 ,16 ,7 ,3.76% 
Atacama ,67 ,8 ,8 ,0 ,O ,0.34% 
Coquimbo ,88 ,10 ,5 ,5 ,O ,0.45% 
Valparaiso ,638 ,24 ,23 ,1 ,13 ,3.24% 
Metropolitana ,12656 ,995 ,912 ,83 ,135 ,64.36% 
O'Higgins ,125 ,5 ,4 ,1 ,3 ,0.64% 
Maule ,397 ,1 ,1 ,0 ,13 ,2.02% 
Nuble ,786 ,10 ,7 ,3 ,16 ,4.00% 
Biobio ,759 ,8 ,7 ,1 ,7 ,3.86% 
Araucania ,1328 ,14 ,14 ,O ,36 ,6.75% 
De los Rios ,198 ,2 ,2 ,0 ,4 ,1.01% 
De los Lagos ,517 ,4 ,4 ,O ,10 ,2.63% 
Aysen ,7 ,O ,O ,0 ,O ,0.04% 
Magallanes ,777 ,25 ,25 ,0 ,11 ,3.95% 
,,,,,,
