Fecha,#examenesinformados,#totaldeexamenes,#laboratoriosquereporta
01-04-2020 ,2.898 ,38.040 ,23 
02-04-2020 ,2.685 ,40.725 ,27 
03-04-2020 ,3.405 ,44.130 ,36 
04-04-2020 ,4.467 ,48.613 ,39 
05-04-2020 ,3.343 ,51.956 ,37 
06-04-2020 ,2.908 ,54.864 ,38 
07-04-2020 ,2.258 ,57.122 ,32 
08-04-2020 ,3.269 ,60.391 ,33 
09-04-2020 ,7.962 ,68.353 ,42 
10-04-2020 ,4.444 ,72.797 ,37 
11-04-2020 ,3.577 ,76.374 ,27 
12-04-2020 ,5.897 ,82.271 ,41 
13-04-2020 ,2.764 ,85.035 ,31 
14-04-2020 ,2.759 ,87.794 ,37 
15-04-2020 ,4.079 ,91.873 ,37 
