Fecha,Casosconfirmados,Casosactivos,CasosRecuperados,Fallecidos,NuevOscasos,Nuevosrecuperados
01-04-2020 ,3.031 ,2.793 ,222 ,16 ,293 ,33 
02-04-2020 ,3.404 ,3.063 ,323 ,18 ,373 ,101 
03-04-2020 ,3.737 ,3.303 ,412 ,22 ,333 ,89 
04-04-2020 ,4.161 ,3.624 ,510 ,27 ,424 ,98 
05-04-2020 ,4.471 ,3.839 ,598 ,34 ,310 ,88 
06-04-2020 ,4.815 ,4.069 ,709 ,37 ,344 ,111 
07-04-2020 ,5.116 ,4.194 ,879 ,43 ,301 ,170 
08-04-2020 ,5.546 ,4.404 ,1.094 ,48 ,430 ,215 
09-04-2020 ,5.972 ,4.666 ,1.249 ,57 ,426 ,155 
10-04-2020 ,6.501 ,4.891 ,1.545 ,65 ,529 ,296 
11-04-2020 ,6.927 ,5.018 ,1.836 ,73 ,426 ,291 
12-04-2020 ,7.213 ,5.074 ,2.059 ,80 ,286 ,223 
13-04-2020 ,7.525 ,5.076 ,2.367 ,82 ,312 ,308 
14-04-2020 ,7.917 ,5.179 ,2.646 ,92 ,392 ,279 
15-04-2020 ,8.273 ,5.242 ,2.937 ,94 ,356 ,291 
16-04-2020 ,8.807 ,5.403 ,3.299 ,105 ,534 ,362 
17-04-2020 ,9.252 ,5.515 ,3.621 ,116 ,445 ,322 
