,Casosnuevosconsintomas,Casosnuevossinsintomas,Casostotalesacumulados,%Total,Fallecidos,Tasa*100000,Incrementodiario
Arica - Parinacota ,4 ,O ,272 ,1.83% ,4 ,107.89 ,1.47% 
Tarapaca ,14 ,O ,183 ,1.23% ,1 ,47.81 ,7.65% 
Antofagasta ,33 ,O ,514 ,3.45% ,4 ,74.29 ,6.42% 
Atacama ,7 ,O ,42 ,0.28% ,0 ,13.35 ,16.67% 
Coquimbo ,2 ,O ,76 ,0.51% ,O ,9.09 ,2.63% 
Valparaiso ,33 ,O ,526 ,3.53% ,12 ,26.83 ,6.27% 
Metropolitana ,339 ,250* ,8639 ,58.04% ,104 ,106.33 ,3.92% 
O'Higgins ,7 ,O ,104 ,0.70% ,1 ,10.49 ,6.73% 
Maule ,8 ,0 ,392 ,2.63% ,13 ,34.63 ,2.04% 
Nuble ,14 ,O ,761 ,5.11% ,14 ,148.76 ,1.84% 
Biobio ,10 ,O ,719 ,4.83% ,7 ,43.22 ,1.39% 
Araucania ,22 ,O ,1273 ,8.55% ,32 ,125.50 ,1.73% 
De los Rios ,2 ,O ,182 ,1.22% ,4 ,44.85 ,1.10% 
De los Lagos ,4 ,O ,481 ,3.23% ,9 ,53.96 ,0.83% 
Aysen ,0 ,0 ,7 ,0.05% ,0 ,6.52 ,0.00% 
Magallanes ,21 ,0 ,714 ,4.80% ,11 ,400.31 ,2.94% 
