Fecha,#examenesinformados,#totaldeexamenes,#laboratoriosquereporta
01-04-2020 ,2898 ,38040 ,23 
02-04-2020 ,2685 ,40725 ,27 
03-04-2020 ,3405 ,44130 ,36 
04-04-2020 ,4467 ,48613 ,39 
05-04-2020 ,3343 ,51956 ,37 
06-04-2020 ,2908 ,54864 ,38 
07-04-2020 ,2258 ,57122 ,32 
08-04-2020 ,3269 ,60391 ,33 
09-04-2020 ,7962 ,68353 ,42 
10-04-2020 ,4444 ,72797 ,37 
11-04-2020 ,3577 ,76374 ,27 
12-04-2020 ,5897 ,82271 ,41 
13-04-2020 ,2764 ,85035 ,31 
14-04-2020 ,2759 ,87794 ,37 
15-04-2020 ,4079 ,91873 ,37 
16-04-2021 ,6551 ,98424 ,43 
17-04-2020 ,5449 ,103873 ,44 
18-04-2020 ,5018 ,108891 ,45 
