Grupoedad,No,Hombre%,Tasa,No,Mujer%,Tasa,No,Total%,Tasa
00 - 04 anos ,100 ,1.6 ,16.5 ,107 ,1.7 ,18.3 ,207 ,1.6 ,17.4 
05 - 09 anos ,71 ,1.1 ,10.9 ,81 ,1.3 ,12.9 ,152 ,1.2 ,11.9 
10 - 14 anos ,114 ,1.8 ,17.7 ,104 ,1.6 ,16.7 ,218 ,1.7 ,17.2 
15 - 19 anos ,153 ,2.4 ,23.9 ,209 ,3.3 ,33.7 ,362 ,2.8 ,28.7 
20 - 24 anos ,452 ,7.1 ,61.7 ,475 ,7.4 ,66.9 ,927 ,7.3 ,64.2 
25 - 29 anos ,790 ,12.4 ,94.3 ,805 ,12.6 ,99.2 ,1595 ,12.5 ,96.7 
30 - 34 anos ,803 ,12.6 ,99.1 ,816 ,12.8 ,103.8 ,1619 ,12.7 ,101.4 
35 - 39 anos ,707 ,11.1 ,97.5 ,708 ,11.1 ,99.7 ,1415 ,11.1 ,98.6 
40 - 44 anos ,618 ,9.7 ,91.5 ,611 ,9.6 ,91.0 ,1229 ,9.6 ,91.2 
45 - 49 anos ,580 ,9.1 ,91.9 ,548 ,8.6 ,85.6 ,1128 ,8.8 ,88.7 
50 54 anos ,514 ,8.0 ,85.5 ,505 ,7.9 ,81.0 ,1019 ,8.0 ,83.2 
55 - 59 anos ,460 ,7.2 ,82.9 ,434 ,6.8 ,73.5 ,894 ,7.0 ,78.0 
60 - 64 anos ,337 ,5.3 ,71.5 ,297 ,4.6 ,57.3 ,634 ,5.0 ,64.1 
65 - 69 anos ,241 ,3.8 ,63.6 ,208 ,3.3 ,47.7 ,449 ,3.5 ,55.1 
70 - 74 anos ,174 ,2.7 ,65.9 ,157 ,2.5 ,49.2 ,331 ,2.6 ,56.7 
75 - 79 anos ,140 ,2.2 ,79.4 ,121 ,1.9 ,51.0 ,261 ,2.0 ,63.1 
80 y mas anos ,137 ,2.1 ,69.7 ,208 ,3.3 ,59.4 ,345 ,2.7 ,63.1 
Total ,6391 ,100 ,66.6 ,6394 ,100 ,64.9 ,12785 ,100 ,65.7 
