edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,18 ,1 ,"3,0 ",21 ,1 ,"3,6 ",39 ,1 ,"3,3 "
05 - 09 anos ,17 ,1 ,"2,6 ",23 ,1 ,"3,7 ",40 ,1 ,"3,1 "
10 - 14 anos ,31 ,1 ,"4,8 ",34 ,1 ,"5,5 ",65 ,1 ,"5,1 "
15 19 anos ,56 ,2 ,"8,7 ",78 ,3 ,"12,6 ",134 ,2 ,"10,6 "
20 24 anos ,175 ,6 ,"23,9 ",177 ,7 ,"24,9 ",352 ,7 ,"24,4 "
25 29 anos ,312 ,12 ,"37,3 ",344 ,13 ,"42,4 ",656 ,12 ,"39,8 "
30 34 anos ,353 ,13 ,"43,6 ",357 ,13 ,"45,4 ",710 ,13 ,"44,5 "
35 - 39 anos ,324 ,12 ,"44,7 ",316 ,12 ,"44,5 ",640 ,12 ,"44,6 "
40 44 anos ,284 ,10 ,"42,1 ",272 ,10 ,"40,5 ",556 ,10 ,"41,3 "
45 49 anos ,274 ,10 ,"43,4 ",249 ,9 ,"38,9 ",523 ,10 ,"41,1 "
50 54 anos ,220 ,8 ,"36,6 ",237 ,9 ,"38,0 ",457 ,8 ,"37,3 "
55 59 anos ,197 ,7 ,"35,5 ",185 ,7 ,"31,3 ",382 ,7 ,"33,3 "
60 64 anos ,145 ,5 ,"30,8 ",138 ,5 ,"26,6 ",283 ,5 ,"28,6 "
65 69 anos ,101 ,4 ,"26,7 ",84 ,3 ,"19,3 ",185 ,3 ,"22,7 "
70 - 74 anos ,86 ,3 ,"32,6 ",69 ,3 ,"21,6 ",155 ,3 ,"26,6 "
75 - 79 anos ,60 ,2 ,"34,0 ",48 ,2 ,"20,2 ",108 ,2 ,"26,1 "
80 y mas anos ,54 ,2 ,"27,5 ",58 ,2 ,"16,6 ",112 ,2 ,"20,5 "
Total ,2707 ,,"28,2 ",2690 ,,"27,3 ",5397 ,,"27,7 "
