Grupoedad,No,Hombre%,Tasa#,No,Mujer%,Tasa#,No,Total%,Tasa#
00 04 anos ,6 ,1 ,1.0 ,12 ,1 ,2.1 ,18 ,1 ,1.5 
05 09 anos ,4 ,O ,0.6 ,11 ,1 ,1.7 ,15 ,1 ,1.2 
10 14 anos ,10 ,1 ,1.6 ,12 ,1 ,1.9 ,22 ,1 ,1.7 
15 19 anos ,22 ,2 ,3.4 ,29 ,2 ,4.7 ,51 ,2 ,4.0 
20 24 anos ,64 ,5 ,8.7 ,77 ,6 ,10.8 ,141 ,6 ,9.8 
25 29 anos ,128 ,11 ,15.3 ,151 ,13 ,18.6 ,279 ,12 ,16.9 
30 34 anos ,170 ,14 ,21.0 ,179 ,15 ,22.8 ,349 ,15 ,21.9 
35 39 anos ,158 ,13 ,21.8 ,149 ,13 ,21.0 ,307 ,13 ,21.4 
40 44 anos ,141 ,12 ,20.9 ,125 ,11 ,18.6 ,266 ,11 ,19.7 
45 49 anos ,125 ,11 ,19.8 ,120 ,10 ,18.7 ,245 ,10 ,19.3 
50 54 anos ,95 ,8 ,15.8 ,89 ,8 ,14.3 ,184 ,8 ,15.0 
55 59 anos ,86 ,7 ,15.5 ,78 ,7 ,13.2 ,164 ,7 ,14.3 
60 64 anos ,65 ,5 ,13.8 ,61 ,5 ,11.8 ,126 ,5 ,12.7 
65 69 anos ,45 ,4 ,11.9 ,38 ,3 ,8.7 ,83 ,3 ,10.2 
70 74 anos ,31 ,3 ,11.7 ,25 ,2 ,7.8 ,56 ,2 ,9.6 
75 79 anos ,19 ,2 ,10.8 ,17 ,1 ,7.2 ,36 ,2 ,8.7 
80 y mas anos ,18 ,2 ,9.2 ,13 ,1 ,3.7 ,31 ,1 ,5.7 
Total ,1187 ,,12.4 ,1186 ,,12.0 ,2373 ,,12.2 
