edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,39 ,"1,1 ","6,4 ",36 ,"1,0 ","6,2 ",75 ,"1,1 ","6,3 "
05 - 09 anos ,27 ,"0,8 ","4,1 ",35 ,"1,0 ","5,6 ",62 ,"0,9 ","4,8 "
10 - 14 anos ,46 ,"1,3 ","7,1 ",44 ,"1,3 ","7,1 ",90 ,"1,3 ","7,1 "
15 - 19 anos ,73 ,"2,1 ","11,4 ",104 ,"3,0 ","16,8 ",177 ,"2,5 ","14,0 "
20 - 24 anos ,243 ,"6,9 ","33,2 ",239 ,"6,8 ","33,7 ",482 ,"6,9 ","33,4 "
25 - 29 anos ,409 ,"11,7 ","48,8 ",458 ,"13,0 ","56,4 ",867 ,"12,4 ","52,6 "
30 - 34 anos ,440 ,"12,6 ","54,3 ",470 ,"13,4 ","59,8 ",910 ,"13,0 ","57,0 "
35 - 39 anos ,399 ,"11,4 ","55,0 ",392 ,"11,2 ","55,2 ",791 ,"11,3 ","55,1 "
40 44 anos ,358 ,"10,2 ","53,0 ",342 ,"9,7 ","50,9 ",700 ,"10,0 ","52,0 "
45 - 49 anos ,342 ,"9,8 ","54,2 ",319 ,"9,1 ","49,8 ",661 ,"9,4 ","52,0 "
50 - 54 anos ,284 ,"8,1 ","47,3 ",294 ,"8,4 ","47,2 ",578 ,"8,2 ","47,2 "
55 - 59 anos ,258 ,"7,4 ","46,5 ",232 ,"6,6 ","39,3 ",490 ,"7,0 ","42,8 "
60 - 64 anos ,190 ,"5,4 ","40,3 ",175 ,"5,0 ","33,8 ",365 ,"5,2 ","36,9 "
65 - 69 anos ,130 ,"3,7 ","34,3 ",116 ,"3,3 ","26,6 ",246 ,"3,5 ","30,2 "
70 - 74 anos ,108 ,"3,1 ","40,9 ",94 ,"2,7 ","29,4 ",202 ,"2,9 ","34,6 "
75 - 79 anos ,77 ,"2,2 ","43,7 ",64 ,"1,8 ","27,0 ",141 ,"2,0 ","34,1 "
80 y mas anos ,78 ,"2,2 ","39,7 ",101 ,"2,9 ","28,8 ",179 ,"2,6 ","32,7 "
Total ,3501 ,100 ,"36,5 ",3515 ,100 ,"35,7 ",7016 ,100 ,"36,1 "
