edad,,Hombre,,,Mujer,,,Total,
Grupo ,NO ,% ,Tasa ,NO ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,201 ,1.9 ,33.1 ,199 ,2.0 ,34.1 ,400 ,1.9 ,33.6 
05 09 anos ,143 ,1.3 ,21.9 ,148 ,1.5 ,23.5 ,291 ,1.4 ,22.7 
10 14 anos ,197 ,1.8 ,30.6 ,197 ,2.0 ,31.7 ,394 ,1.9 ,31.1 
15 19 anos ,279 ,2.6 ,43.6 ,349 ,3.5 ,56.3 ,628 ,3.1 ,49.8 
20 24 anos ,809 ,7.6 ,110.4 ,783 ,7.9 ,110.3 ,1592 ,7.7 ,110.3 
25 29 anos ,1390 ,13.0 ,166.0 ,1271 ,12.8 ,156.6 ,2661 ,12.9 ,161.4 
30 34 anos ,1376 ,12.9 ,169.8 ,1255 ,12.7 ,159.7 ,2631 ,12.8 ,164.8 
35 39 anos ,1168 ,11.0 ,161.0 ,1030 ,10.4 ,145.1 ,2198 ,10.7 ,153.1 
40 44 anos ,991 ,9.3 ,146.8 ,907 ,9.1 ,135.0 ,1898 ,9.2 ,140.9 
45 49 anos ,923 ,8.7 ,146.2 ,804 ,8.1 ,125.6 ,1727 ,8.4 ,135.8 
50 54 anos ,840 ,7.9 ,139.8 ,757 ,7.6 ,121.4 ,1597 ,7.8 ,130.4 
55 59 anos ,746 ,7.0 ,134.4 ,680 ,6.9 ,115.1 ,1426 ,6.9 ,124.5 
60 64 anos ,550 ,5.2 ,116.8 ,439 ,4.4 ,84.7 ,989 ,4.8 ,100.0 
65 69 anos ,376 ,3.5 ,99.2 ,315 ,3.2 ,72.3 ,691 ,3.4 ,84.8 
70 74 anos ,241 ,2.3 ,91.3 ,256 ,2.6 ,80.2 ,497 ,2.4 ,85.2 
75 79 anos ,194 ,1.8 ,110.0 ,186 ,1.9 ,78.4 ,380 ,1.8 ,91.8 
80 y mas anos ,229 ,2.1 ,116.5 ,338 ,3.4 ,96.5 ,567 ,2.8 ,103.7 
Total ,10653 ,100 ,111.0 ,9914 ,100 ,100.6 ,20567 ,100 ,105.7 
