Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa # ,No ,% ,Tasa # ,No ,% ,Tasa # 
00 - 04 anos ,10 ,1 ,1.6 ,13 ,1 ,2.2 ,23 ,1 ,1.9 
05 - 09 anos ,10 ,1 ,1.5 ,15 ,1 ,2.4 ,25 ,1 ,1.9 
10 14 anos ,16 ,1 ,2.5 ,20 ,1 ,3.2 ,36 ,1 ,2.8 
15 - 19 anos ,37 ,2 ,5.8 ,48 ,3 ,7.7 ,85 ,2 ,6.7 
20 - 24 anos ,118 ,6 ,16.1 ,130 ,7 ,18.3 ,248 ,7 ,17.2 
25 - 29 anos ,222 ,12 ,26.5 ,247 ,13 ,30.4 ,469 ,12 ,28.4 
30 - 34 anos ,251 ,13 ,31.0 ,267 ,14 ,34.0 ,518 ,14 ,32.5 
35 - 39 anos ,234 ,12 ,32.3 ,228 ,12 ,32.1 ,462 ,12 ,32.2 
40 44 anos ,202 ,11 ,29.9 ,194 ,10 ,28.9 ,396 ,10 ,29.4 
45 49 anos ,192 ,10 ,30.4 ,174 ,9 ,27.2 ,366 ,10 ,28.8 
50 54 anos ,158 ,8 ,26.3 ,154 ,8 ,24.7 ,312 ,8 ,25.5 
55 - 59 anos ,139 ,7 ,25.1 ,124 ,7 ,21.0 ,263 ,7 ,23.0 
60 64 anos ,107 ,6 ,22.7 ,99 ,5 ,19.1 ,206 ,5 ,20.8 
65 69 anos ,70 ,4 ,18.5 ,60 ,3 ,13.8 ,130 ,3 ,16.0 
70 74 anos ,57 ,3 ,21.6 ,50 ,3 ,15.7 ,107 ,3 ,18.3 
75 79 anos ,43 ,2 ,24.4 ,35 ,2 ,14.7 ,78 ,2 ,18.9 
80 y mas anos ,31 ,2 ,15.8 ,30 ,2 ,8.6 ,61 ,2 ,11.2 
Total ,1897 ,,19.8 ,1888 ,,19.1 ,3785 ,,19.5 
