,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
- 04 anos ,49 ,1.1 ,8.1 ,55 ,1.3 ,9.4 ,104 ,1.2 ,8.7 
09 anos ,35 ,0.8 ,5.4 ,44 ,1.0 ,7.0 ,79 ,0.9 ,6.2 
14 anos ,65 ,1.5 ,10.1 ,54 ,1.2 ,8.7 ,119 ,1.4 ,9.4 
19 anos ,96 ,2.2 ,15.0 ,131 ,3.0 ,21.1 ,227 ,2.6 ,18.0 
24 anos ,309 ,7.1 ,42.2 ,297 ,6.8 ,41.8 ,606 ,6.9 ,42.0 
29 anos ,519 ,11.9 ,62.0 ,543 ,12.4 ,66.9 ,1062 ,12.2 ,64.4 
34 anos ,552 ,12.6 ,68.1 ,575 ,13.1 ,73.2 ,1127 ,12.9 ,70.6 
39 anos ,494 ,11.3 ,68.1 ,488 ,11.2 ,68.7 ,982 ,11.2 ,68.4 
44 anos ,437 ,10.0 ,64.7 ,446 ,10.2 ,66.4 ,883 ,10.1 ,65.6 
49 anos ,407 ,9.3 ,64.5 ,394 ,9.0 ,61.5 ,801 ,9.2 ,63.0 
54 anos ,363 ,8.3 ,60.4 ,357 ,8.2 ,57.3 ,720 ,8.2 ,58.8 
59 anos ,319 ,7.3 ,57.5 ,302 ,6.9 ,51.1 ,621 ,7.1 ,54.2 
64 anos ,239 ,5.5 ,50.7 ,220 ,5.0 ,42.4 ,459 ,5.3 ,46.4 
69 anos ,160 ,3.7 ,42.2 ,147 ,3.4 ,33.7 ,307 ,3.5 ,37.7 
74 anos ,132 ,3.0 ,50.0 ,118 ,2.7 ,37.0 ,250 ,2.9 ,42.9 
79 anos ,93 ,2.1 ,52.7 ,79 ,1.8 ,33.3 ,172 ,2.0 ,41.6 
y mas anos ,97 ,2.2 ,49.4 ,124 ,2.8 ,35.4 ,221 ,2.5 ,40.4 
Total ,4366 ,100 ,45.5 ,4374 ,100 ,44.4 ,8740 ,100 ,44.9 
