,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,38 ,"1,0 ","6,3 ",39 ,"1,1 ","6,7 ",77 ,"1,0 ","6,5 "
05 09 anos ,27 ,"0,7 ","4,1 ",37 ,"1,0 ","5,9 ",64 ,"0,9 ","5,0 "
10 14 anos ,51 ,"1,4 ","7,9 ",48 ,"1,3 ","7,7 ",99 ,"1,3 ","7,8 "
15 19 anos ,77 ,"2,1 ","12,0 ",108 ,"2,9 ","17,4 ",185 ,"2,5 ","14,7 "
20 24 anos ,252 ,"6,8 ","34,4 ",253 ,"6,8 ","35,6 ",505 ,"6,8 ","35,0 "
25 29 anos ,434 ,"11,7 ","51,8 ",477 ,"12,8 ","58,8 ",911 ,"12,3 ","55,2 "
30 34 anos ,469 ,"12,7 ","57,9 ",494 ,"13,3 ","62,9 ",963 ,"13,0 ","60,3 "
35 39 anos ,423 ,"11,4 ","58,3 ",419 ,"11,3 ","59,0 ",842 ,"11,4 ","58,7 "
40 44 anos ,387 ,"10,5 ","57,3 ",369 ,"9,9 ","54,9 ",756 ,"10,2 ","56,1 "
45 49 anos ,357 ,"9,7 ","56,6 ",338 ,"9,1 ","52,8 ",695 ,"9,4 ","54,7 "
50 54 anos ,308 ,"8,3 ","51,2 ",315 ,"8,5 ","50,5 ",623 ,"8,4 ","50,9 "
55 59 anos ,268 ,"7,2 ","48,3 ",243 ,"6,5 ","41,1 ",511 ,"6,9 ","44,6 "
60 64 anos ,201 ,"5,4 ","42,7 ",188 ,"5,1 ","36,3 ",389 ,"5,2 ","39,3 "
65 69 anos ,135 ,"3,6 ","35,6 ",119 ,"3,2 ","27,3 ",254 ,"3,4 ","31,2 "
70 74 anos ,112 ,"3,0 ","42,4 ",95 ,"2,6 ","29,8 ",207 ,"2,8 ","35,5 "
75 79 anos ,80 ,"2,2 ","45,4 ",64 ,"1,7 ","27,0 ",144 ,"1,9 ","34,8 "
80 y mas anos ,80 ,"2,2 ","40,7 ",107 ,"2,9 ","30,5 ",187 ,"2,5 ","34,2 "
,,,,,,,,,
