edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,75 ,1.4 ,12.4 ,82 ,1.5 ,14.0 ,157 ,1.4 ,13.2 
05 09 anos ,52 ,1.0 ,8.0 ,67 ,1.2 ,10.6 ,119 ,1.1 ,9.3 
10 14 anos ,96 ,1.8 ,14.9 ,79 ,1.4 ,12.7 ,175 ,1.6 ,13.8 
15 19 anos ,118 ,2.2 ,18.4 ,167 ,3.0 ,27.0 ,285 ,2.6 ,22.6 
20 24 anos ,386 ,7.2 ,52.7 ,391 ,7.1 ,55.1 ,777 ,7.2 ,53.8 
25 29 anos ,635 ,11.9 ,75.8 ,696 ,12.7 ,85.7 ,1331 ,12.3 ,80.7 
30 34 anos ,669 ,12.5 ,82.6 ,707 ,12.9 ,90.0 ,1376 ,12.7 ,86.2 
35 39 anos ,604 ,11.3 ,83.3 ,610 ,11.1 ,85.9 ,1214 ,11.2 ,84.6 
40 44 anos ,524 ,9.8 ,77.6 ,533 ,9.7 ,79.3 ,1057 ,9.8 ,78.5 
45 49 anos ,489 ,9.1 ,77.5 ,483 ,8.8 ,75.4 ,972 ,9.0 ,76.4 
50 54 anos ,427 ,8.0 ,71.0 ,433 ,7.9 ,69.5 ,860 ,7.9 ,70.2 
55 59 anos ,387 ,7.2 ,69.7 ,373 ,6.8 ,63.2 ,760 ,7.0 ,66.3 
60 64 anos ,290 ,5.4 ,61.6 ,265 ,4.8 ,51.1 ,555 ,5.1 ,56.1 
65 69 anos ,200 ,3.7 ,52.8 ,178 ,3.2 ,40.9 ,378 ,3.5 ,46.4 
70 74 anos ,161 ,3.0 ,61.0 ,143 ,2.6 ,44.8 ,304 ,2.8 ,52.1 
75 79 anos ,120 ,2.2 ,68.0 ,104 ,1.9 ,43.8 ,224 ,2.1 ,54.1 
80 y mas anos ,116 ,2.2 ,59.0 ,172 ,3.1 ,49.1 ,288 ,2.7 ,52.7 
Tota ,5349 ,100 ,55.7 ,5483 ,100 ,55.6 ,10832 ,100 ,55.7 
