Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,66 ,"1,3 ","10,9 ",71 ,"1,3 ","12,2 ",137 ,"1,3 ","11,5 "
05 - 09 anos ,45 ,"0,9 ","6,9 ",59 ,"1,1 ","9,4 ",104 ,"1,0 ","8,1 "
10 14 anos ,90 ,"1,7 ","14,0 ",71 ,"1,3 ","11,4 ",161 ,"1,5 ","12,7 "
15 19 anos ,116 ,"2,2 ","18,1 ",159 ,"3,0 ","25,7 ",275 ,"2,6 ","21,8 "
20 24 anos ,368 ,"7,1 ","50,2 ",374 ,"7,1 ","52,7 ",742 ,"7,1 ","51,4 "
25 29 anos ,613 ,"11,9 ","73,2 ",660 ,"12,5 ","81,3 ",1273 ,"12,2 ","77,2 "
30 34 anos ,646 ,"12,5 ","79,7 ",682 ,"12,9 ","86,8 ",1328 ,"12,7 ","83,2 "
35 39 anos ,584 ,"11,3 ","80,5 ",596 ,"11,3 ","84,0 ",1180 ,"11,3 ","82,2 "
40 44 anos ,502 ,"9,7 ","74,3 ",523 ,"9,9 ","77,9 ",1025 ,"9,8 ","76,1 "
45 49 anos ,481 ,"9,3 ","76,2 ",473 ,"9,0 ","73,9 ",954 ,"9,1 ","75,0 "
50 54 anos ,416 ,"8,1 ","69,2 ",416 ,"7,9 ","66,7 ",832 ,"8,0 ","68,0 "
55 59 anos ,375 ,"7,3 ","67,6 ",365 ,"6,9 ","61,8 ",740 ,"7,1 ","64,6 "
60 64 anos ,282 ,"5,5 ","59,9 ",257 ,"4,9 ","49,6 ",539 ,"5,2 ","54,5 "
65 69 anos ,193 ,"3,7 ","50,9 ",169 ,"3,2 ","38,8 ",362 ,"3,5 ","44,4 "
70 74 anos ,159 ,"3,1 ","60,2 ",141 ,"2,7 ","44,2 ",300 ,"2,9 ","51,4 "
75 79 anos ,115 ,"2,2 ","65,2 ",100 ,"1,9 ","42,1 ",215 ,"2,1 ","52,0 "
80 y mas anos ,116 ,"2,2 ","59,0 ",168 ,"3,2 ","48,0 ",284 ,"2,7 ","51,9 "
Total ,5167 ,100 ,,5284 ,100 ,,10451 ,100 ,
