edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,N ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,30 ,1 ,4.9 ,30 ,1 ,5.1 ,60 ,1 ,5.0 
05 09 anos ,20 ,1 ,3.1 ,31 ,1 ,4.9 ,51 ,1 ,4.0 
10 14 anos ,37 ,1 ,5.7 ,39 ,1 ,6.3 ,76 ,1 ,6.0 
15 19 anos ,65 ,2 ,10.1 ,89 ,3 ,14.4 ,154 ,2 ,12.2 
20 24 anos ,209 ,7 ,28.5 ,217 ,7 ,30.6 ,426 ,7 ,29.5 
25 29 anos ,366 ,12 ,43.7 ,403 ,13 ,49.6 ,769 ,12 ,46.6 
30 34 anos ,405 ,13 ,50.0 ,413 ,13 ,52.5 ,818 ,13 ,51.2 
35 39 anos ,372 ,12 ,51.3 ,358 ,11 ,50.4 ,730 ,12 ,50.9 
40 44 anos ,327 ,10 ,48.4 ,314 ,10 ,46.7 ,641 ,10 ,47.6 
45 49 anos ,303 ,10 ,48.0 ,283 ,9 ,44.2 ,586 ,9 ,46.1 
50 54 anos ,259 ,8 ,43.1 ,271 ,9 ,43.5 ,530 ,8 ,43.3 
55 59 anos ,232 ,7 ,41.8 ,213 ,7 ,36.1 ,445 ,7 ,38.8 
60 64 anos ,171 ,5 ,36.3 ,155 ,5 ,29.9 ,326 ,5 ,32.9 
65 69 anos ,119 ,4 ,31.4 ,99 ,3 ,22.7 ,218 ,3 ,26.8 
70 - 74 anos ,100 ,3 ,37.9 ,82 ,3 ,25.7 ,182 ,3 ,31.2 
75 79 anos ,70 ,2 ,39.7 ,57 ,2 ,24.0 ,127 ,2 ,30.7 
80 y mas anos ,65 ,2 ,33.1 ,88 ,3 ,25.1 ,153 ,2 ,28.0 
Total ,3150 ,,32.8 ,3142 ,,31.9 ,6292 ,,32.3 
