,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) 
00 04 anos ,5 ,1 ,"0,8 ",9 ,1 ,"1,5 ",14 ,1 ,"1,2 "
05 09 anos ,4 ,O ,"0,6 ",6 ,1 ,"1,0 ",10 ,1 ,"0,8 "
10 14 anos ,10 ,1 ,"1,6 ",6 ,1 ,"1,0 ",16 ,1 ,"1,3 "
15 19 anos ,16 ,2 ,"2,5 ",17 ,2 ,"2,7 ",33 ,2 ,"2,6 "
20 24 anos ,46 ,5 ,"6,3 ",60 ,7 ,"8,4 ",106 ,6 ,"7,3 "
25 29 anos ,100 ,12 ,"11,9 ",109 ,13 ,"13,4 ",209 ,12 ,"12,7 "
30 34 anos ,137 ,16 ,"16,9 ",131 ,15 ,"16,7 ",268 ,16 ,"16,8 "
35 39 anos ,119 ,14 ,"16,4 ",115 ,13 ,"16,2 ",234 ,14 ,"16,3 "
40 44 anos ,97 ,11 ,"14,4 ",95 ,11 ,"14,1 ",192 ,11 ,"14,3 "
45 49 anos ,86 ,10 ,"13,6 ",79 ,9 ,"12,3 ",165 ,10 ,"13,0 "
50 54 anos ,72 ,8 ,"12,0 ",67 ,8 ,"10,7 ",139 ,8 ,"11,4 "
55 59 anos ,58 ,7 ,"10,5 ",54 ,6 ,"9,1 ",112 ,7 ,"9,8 "
60 64 anos ,39 ,4 ,"8,3 ",47 ,5 ,"9,1 ",86 ,5 ,"8,7 "
65 69 anos ,27 ,3 ,"7,1 ",25 ,3 ,"5,7 ",52 ,3 ,"6,4 "
70 74 anos ,26 ,3 ,"9,8 ",16 ,2 ,"5,0 ",42 ,2 ,"7,2 "
75 79 anos ,12 ,1 ,"6,8 ",13 ,2 ,"5,5 ",25 ,1 ,"6,0 "
80 y mas anos ,13 ,1 ,"6,6 ",7 ,1 ,"2,0 ",20 ,1 ,"3,7 "
Total ,867 ,,"9,0 ",856 ,,"8,7 ",1723 ,,"8,9 "
