,,Hombre,,,Mujer,,,Total,
Grupo edad ,NO ,% ,Tasa ,No ,% ,Tasa ,NO ,% ,Tasa 
00 - 04 anos ,22 ,1 ,"3,6 ",27 ,1 ,"4,6 ",49 ,1 ,"4,1 "
05 - 09 anos ,18 ,1 ,"2,8 ",30 ,1 ,"4,8 ",48 ,1 ,"3,7 "
10 - 14 anos ,34 ,1 ,"5,3 ",36 ,1 ,"5,8 ",70 ,1 ,"5,5 "
15 - 19 anos ,60 ,2 ,"9,4 ",85 ,3 ,"13,7 ",145 ,2 ,"11,5 "
20 - 24 anos ,192 ,7 ,"26,2 ",205 ,7 ,"28,9 ",397 ,7 ,"27,5 "
25 - 29 anos ,332 ,11 ,"39,6 ",372 ,13 ,"45,8 ",704 ,12 ,"42,7 "
30 - 34 anos ,372 ,13 ,"45,9 ",378 ,13 ,"48,1 ",750 ,13 ,"47,0 "
35 - 39 anos ,340 ,12 ,"46,9 ",334 ,11 ,"47,0 ",674 ,12 ,"47,0 "
40 - 44 anos ,308 ,11 ,"45,6 ",290 ,10 ,"43,2 ",598 ,10 ,"44,4 "
45 - 49 anos ,289 ,10 ,"45,8 ",266 ,9 ,"41,5 ",555 ,10 ,"43,6 "
50 - 54 anos ,234 ,8 ,"38,9 ",251 ,9 ,"40,3 ",485 ,8 ,"39,6 "
55 - 59 anos ,216 ,7 ,"38,9 ",202 ,7 ,"34,2 ",418 ,7 ,"36,5 "
60 - 64 anos ,155 ,5 ,"32,9 ",148 ,5 ,"28,6 ",303 ,5 ,"30,6 "
65 - 69 anos ,110 ,4 ,"29,0 ",89 ,3 ,"20,4 ",199 ,3 ,"24,4 "
70 - 74 anos ,92 ,3 ,"34,8 ",74 ,3 ,"23,2 ",166 ,3 ,"28,5 "
75 - 79 anos ,66 ,2 ,"37,4 ",52 ,2 ,"21,9 ",118 ,2 ,"28,5 "
80 y mas anos ,59 ,2 ,"30,0 ",72 ,2 ,"20,6 ",131 ,2 ,"24,0 "
Total ,2899 ,,"30,2 ",2911 ,,"29,5 ",5810 ,,"29,9 "
