Grupoedad,No,Hombre%,Tasa,No,Mujer%,Tasa,No,Total%,Tasa
00 - 04 anos ,111 ,1.6 ,18.3 ,117 ,1.7 ,20.0 ,228 ,1.7 ,19.2 
05 09 anos ,81 ,1.2 ,12.4 ,95 ,1.4 ,15.1 ,176 ,1.3 ,13.7 
10 14 anos ,125 ,1.8 ,19.4 ,117 ,1.7 ,18.8 ,242 ,1.8 ,19.1 
15 19 anos ,175 ,2.6 ,27.3 ,230 ,3.4 ,37.1 ,405 ,3.0 ,32.1 
20 24 anos ,492 ,7.2 ,67.1 ,512 ,7.5 ,72.1 ,1004 ,7.3 ,69.6 
25 - 29 anos ,855 ,12.5 ,102.1 ,869 ,12.7 ,107.0 ,1724 ,12.6 ,104.5 
30 - 34 anos ,857 ,12.5 ,105.8 ,864 ,12.6 ,109.9 ,1721 ,12.6 ,107.8 
35 39 anos ,755 ,11.0 ,104.1 ,751 ,11.0 ,105.8 ,1506 ,11.0 ,104.9 
40 44 anos ,662 ,9.6 ,98.0 ,641 ,9.4 ,95.4 ,1303 ,9.5 ,96.7 
45 49 anos ,609 ,8.9 ,96.5 ,580 ,8.5 ,90.6 ,1189 ,8.7 ,93.5 
50 54 anos ,549 ,8.0 ,91.3 ,529 ,7.7 ,84.9 ,1078 ,7.9 ,88.0 
55 - 59 anos ,493 ,7.2 ,88.9 ,465 ,6.8 ,78.7 ,958 ,7.0 ,83.6 
60 64 anos ,359 ,5.2 ,76.2 ,317 ,4.6 ,61.2 ,676 ,4.9 ,68.3 
65 69 anos ,256 ,3.7 ,67.6 ,224 ,3.3 ,51.4 ,480 ,3.5 ,58.9 
70 - 74 anos ,182 ,2.7 ,68.9 ,173 ,2.5 ,54.2 ,355 ,2.6 ,60.9 
75 79 anos ,144 ,2.1 ,81.6 ,128 ,1.9 ,53.9 ,272 ,2.0 ,65.7 
80 y mas anos ,156 ,2.3 ,79.4 ,231 ,3.4 ,65.9 ,387 ,2.8 ,70.8 
Total ,6861 ,100 ,71.5 ,6843 ,100 ,69.4 ,13704 ,100 ,70.4 
