,,Hombre,,,Mujer,,,Total,
Grupo edad ,NO ,% ,Tasa (#) ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) 
00 - 04 anos ,5 ,1 ,"0,8 ",10 ,1 ,"1,7 ",15 ,1 ,"1,3 "
05 - 09 anos ,4 ,O ,"0,6 ",9 ,1 ,"1,4 ",13 ,1 ,"1,0 "
10 14 anos ,10 ,1 ,"1,6 ",6 ,1 ,"1,0 ",16 ,1 ,"1,3 "
15 19 anos ,17 ,2 ,"2,7 ",20 ,2 ,"3,2 ",37 ,2 ,"2,9 "
20 24 anos ,52 ,5 ,"7,1 ",66 ,7 ,"9,3 ",118 ,6 ,"8,2 "
25 29 anos ,107 ,11 ,"12,8 ",118 ,12 ,"14,5 ",225 ,12 ,"13,6 "
30 34 anos ,139 ,14 ,"17,2 ",144 ,15 ,"18,3 ",283 ,15 ,"17,7 "
35 39 anos ,133 ,14 ,"18,3 ",124 ,13 ,"17,5 ",257 ,13 ,"17,9 "
40 44 anos ,112 ,12 ,"16,6 ",108 ,11 ,"16,1 ",220 ,12 ,"16,3 "
45 49 anos ,95 ,10 ,"15,1 ",92 ,10 ,"14,4 ",187 ,10 ,"14,7 "
50 54 anos ,74 ,8 ,"12,3 ",71 ,7 ,"11,4 ",145 ,8 ,"11,8 "
55 59 anos ,69 ,7 ,"12,4 ",58 ,6 ,"9,8 ",127 ,7 ,"11,1 "
60 64 anos ,52 ,5 ,"11,0 ",50 ,5 ,"9,6 ",102 ,5 ,"10,3 "
65 69 anos ,34 ,4 ,"9,0 ",29 ,3 ,"6,7 ",63 ,3 ,"7,7 "
70 74 anos ,27 ,3 ,"10,2 ",20 ,2 ,"6,3 ",47 ,2 ,"8,1 "
75 - 79 anos ,15 ,2 ,"8,5 ",13 ,1 ,"5,5 ",28 ,1 ,"6,8 "
80 y mas anos ,14 ,1 ,"7,1 ",9 ,1 ,"2,6 ",23 ,1 ,"4,2 "
Total ,959 ,,"10,0 ",947 ,,"9,6 ",1906 ,,"9,8 "
