edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,37 ,1 ,6.1 ,32 ,1 ,5.5 ,69 ,1 ,5.8 
05 09 anos ,27 ,1 ,4.1 ,33 ,1 ,5.2 ,60 ,1 ,4.7 
10 14 anos ,40 ,1 ,6.2 ,42 ,1 ,6.8 ,82 ,1 ,6.5 
15 19 anos ,69 ,2 ,10.8 ,99 ,3 ,16.0 ,168 ,3 ,13.3 
20 24 anos ,235 ,7 ,32.1 ,230 ,7 ,32.4 ,465 ,7 ,32.2 
25 29 anos ,389 ,12 ,46.5 ,432 ,13 ,53.2 ,821 ,12 ,49.8 
30 34 anos ,431 ,13 ,53.2 ,440 ,13 ,56.0 ,871 ,13 ,54.6 
35 39 anos ,384 ,11 ,52.9 ,382 ,11 ,53.8 ,766 ,11 ,53.4 
40 44 anos ,338 ,10 ,50.1 ,329 ,10 ,49.0 ,667 ,10 ,49.5 
45 49 anos ,326 ,10 ,51.7 ,304 ,9 ,47.5 ,630 ,9 ,49.5 
50 54 anos ,270 ,8 ,44.9 ,282 ,8 ,45.2 ,552 ,8 ,45. 
55 59 anos ,245 ,7 ,44.2 ,225 ,7 ,38.1 ,470 ,7 ,41.0 
60 64 anos ,182 ,5 ,38.6 ,166 ,5 ,32.0 ,348 ,5 ,35.2 
65 69 anos ,125 ,4 ,33.0 ,111 ,3 ,25.5 ,236 ,4 ,29.0 
70 74 anos ,106 ,3 ,40.1 ,87 ,3 ,27.2 ,193 ,3 ,33.1 
75 79 anos ,74 ,2 ,42.0 ,61 ,2 ,25.7 ,135 ,2 ,32.6 
80 y mas anos ,74 ,2 ,37.7 ,95 ,3 ,27.1 ,169 ,3 ,30.9 
Total ,3352 ,,34.9 ,3350 ,,34.0 ,6702 ,,34.4 
