edad,,Hombre,,,Mujer,,,Total,
Grupo ,N ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,83 ,1.5 ,13.7 ,85 ,1.5 ,14.6 ,168 ,1.5 ,14.1 
05 09 anos ,58 ,1.0 ,8.9 ,73 ,1.3 ,11.6 ,131 ,1.2 ,10.2 
10 14 anos ,101 ,1.8 ,15.7 ,86 ,1.5 ,13.8 ,187 ,1.7 ,14.8 
15 19 anos ,126 ,2.2 ,19.7 ,178 ,3.1 ,28.7 ,304 ,2.7 ,24.1 
20 24 anos ,399 ,7.1 ,54.4 ,404 ,7.1 ,56.9 ,803 ,7.1 ,55.6 
25 29 anos ,672 ,12.0 ,80.3 ,725 ,12.7 ,89.3 ,1397 ,12.4 ,84.7 
30 34 anos ,693 ,12.4 ,85.5 ,731 ,12.8 ,93.0 ,1424 ,12.6 ,89.2 
35 39 anos ,632 ,11.3 ,87.1 ,636 ,11.2 ,89.6 ,1268 ,11.2 ,88.3 
40 44 anos ,550 ,9.8 ,81.4 ,548 ,9.6 ,81.6 ,1098 ,9.7 ,81.5 
45 49 anos ,506 ,9.0 ,80.2 ,498 ,8.8 ,77.8 ,1004 ,8.9 ,79.0 
50 54 anos ,450 ,8.0 ,74.9 ,450 ,7.9 ,72.2 ,900 ,8.0 ,73.5 
55 59 anos ,405 ,7.2 ,73.0 ,388 ,6.8 ,65.7 ,793 ,7.0 ,69.2 
60 64 anos ,305 ,5.4 ,64.8 ,273 ,4.8 ,52.7 ,578 ,5.1 ,58.4 
65 69 anos ,211 ,3.8 ,55.7 ,182 ,3.2 ,41.8 ,393 ,3.5 ,48.2 
70 74 anos ,165 ,2.9 ,62.5 ,145 ,2.5 ,45.4 ,310 ,2.7 ,53.1 
75 79 anos ,127 ,2.3 ,72.0 ,107 ,1.9 ,45.1 ,234 ,2.1 ,56.6 
80 y mas anos ,124 ,2.2 ,63.1 ,180 ,3.2 ,51.4 ,304 ,2.7 ,55.6 
Tota ,5607 ,100 ,58.4 ,5689 ,100 ,57.7 ,11296 ,100 ,58.1 
