edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,12 ,1 ,"2,0 ",16 ,1 ,"2,7 ",28 ,1 ,"2,4 "
05 - 09 anos ,14 ,1 ,"2,1 ",18 ,1 ,"2,9 ",32 ,1 ,"2,5 "
10 - 14 anos ,23 ,1 ,"3,6 ",25 ,1 ,"4,0 ",48 ,1 ,"3,8 "
15 - 19 anos ,52 ,2 ,"8,1 ",64 ,3 ,"10,3 ",116 ,3 ,"9,2 "
20 - 24 anos ,145 ,6 ,"19,8 ",150 ,7 ,"21,1 ",295 ,6 ,"20,4 "
25 - 29 anos ,268 ,12 ,"32,0 ",298 ,13 ,"36,7 ",566 ,12 ,"34,3 "
30 - 34 anos ,310 ,13 ,"38,3 ",309 ,13 ,"39,3 ",619 ,13 ,"38,8 "
35 - 39 anos ,276 ,12 ,"38,1 ",277 ,12 ,"39,0 ",553 ,12 ,"38,5 "
40 44 anos ,246 ,11 ,"36,4 ",232 ,10 ,"34,5 ",478 ,10 ,"35,5 "
45 - 49 anos ,234 ,10 ,"37,1 ",214 ,9 ,"33,4 ",448 ,10 ,"35,2 "
50 54 anos ,190 ,8 ,"31,6 ",194 ,8 ,"31,1 ",384 ,8 ,"31,4 "
55 - 59 anos ,170 ,7 ,"30,6 ",153 ,7 ,"25,9 ",323 ,7 ,"28,2 "
60 64 anos ,126 ,5 ,"26,7 ",124 ,5 ,"23,9 ",250 ,5 ,"25,3 "
65 - 69 anos ,91 ,4 ,"24,0 ",74 ,3 ,"17,0 ",165 ,4 ,"20,3 "
70 - 74 anos ,73 ,3 ,"27,6 ",60 ,3 ,"18,8 ",133 ,3 ,"22,8 "
75 - 79 anos ,50 ,2 ,"28,3 ",42 ,2 ,"17,7 ",92 ,2 ,"22,2 "
80 y mas anos ,46 ,2 ,"23,4 ",41 ,2 ,"11,7 ",87 ,2 ,"15,9 "
Total ,2326 ,,"24,2 ",2291 ,,"23,2 ",4617 ,,"23,7 "
