edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) 
04 anos ,4 ,1 ,0.7 ,6 ,1 ,1.0 ,10 ,1 ,0.8 
09 anos ,2 ,O ,0.3 ,4 ,1 ,0.6 ,6 ,1 ,0.5 
14 anos ,7 ,1 ,1.1 ,2 ,O ,0.3 ,9 ,1 ,0.7 
19 anos ,8 ,2 ,1.2 ,12 ,2 ,1.9 ,20 ,2 ,1.6 
24 anos ,25 ,5 ,3.4 ,43 ,8 ,6.1 ,68 ,7 ,4.7 
29 anos ,61 ,12 ,7.3 ,65 ,13 ,8.0 ,126 ,12 ,7.6 
34 anos ,88 ,18 ,10.9 ,80 ,16 ,10.2 ,168 ,17 ,10.5 
39 anos ,72 ,15 ,9.9 ,79 ,15 ,11.1 ,151 ,15 ,10.5 
44 anos ,62 ,13 ,9.2 ,63 ,12 ,9.4 ,125 ,12 ,9.3 
49 anos ,47 ,9 ,7.4 ,48 ,9 ,7.5 ,95 ,9 ,7.5 
54 anos ,28 ,6 ,4.7 ,33 ,6 ,5.3 ,61 ,6 ,5.0 
59 anos ,30 ,6 ,5.4 ,28 ,5 ,4.7 ,58 ,6 ,5.1 
64 anos ,18 ,4 ,3.8 ,27 ,5 ,5.2 ,45 ,4 ,4.5 
69 anos ,14 ,3 ,3.7 ,10 ,2 ,2.3 ,24 ,2 ,2.9 
74 anos ,16 ,3 ,6.1 ,7 ,1 ,2.2 ,23 ,2 ,3.9 
79 anos ,8 ,2 ,4.5 ,7 ,1 ,2.9 ,15 ,1 ,3.6 
y mas anos ,6 ,1 ,3.1 ,2 ,O ,0.6 ,8 ,1 ,1.5 
Tota ,496 ,,5.2 ,516 ,,5.2 ,1012 ,,5.2 
