Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa (#) ,No ,% ,Tasa (#) ,No ,% ,Tasa (#) 
00 04 anos ,5 ,1 ,"0,8 ",7 ,1 ,"1,2 ",12 ,1 ,"1,0 "
05 09 anos ,2 ,O ,"0,3 ",5 ,1 ,"0,8 ",7 ,1 ,"0,5 "
10 14 anos ,8 ,1 ,"1,2 ",3 ,O ,"0,5 ",11 ,1 ,"0,9 "
15 19 anos ,9 ,1 ,"1,4 ",14 ,2 ,"2,3 ",23 ,2 ,"1,8 "
20 24 anos ,32 ,5 ,"4,4 ",50 ,8 ,"7,0 ",82 ,7 ,"5,7 "
25 29 anos ,75 ,12 ,"9,0 ",77 ,12 ,"9,5 ",152 ,12 ,"9,2 "
30 34 anos ,106 ,17 ,"13,1 ",98 ,15 ,"12,5 ",204 ,16 ,"12,8 "
35 39 anos ,86 ,14 ,"11,9 ",95 ,15 ,"13,4 ",181 ,14 ,"12,6 "
40 44 anos ,71 ,12 ,"10,5 ",82 ,13 ,"12,2 ",153 ,12 ,"11,4 "
45 49 anos ,55 ,9 ,"8,7 ",60 ,9 ,"9,4 ",115 ,9 ,"9,0 "
50 54 anos ,45 ,7 ,"7,5 ",46 ,7 ,"7,4 ",91 ,7 ,"7,4 "
55 59 anos ,34 ,6 ,"6,1 ",37 ,6 ,"6,3 ",71 ,6 ,"6,2 "
60 64 anos ,26 ,4 ,"5,5 ",34 ,5 ,"6,6 ",60 ,5 ,"6,1 "
65 69 anos ,18 ,3 ,"4,8 ",13 ,2 ,"3,0 ",31 ,2 ,"3,8 "
70 74 anos ,21 ,3 ,"8,0 ",11 ,2 ,"3,4 ",32 ,3 ,"5,5 "
75 79 anos ,8 ,1 ,"4,5 ",8 ,1 ,"3,4 ",16 ,1 ,"3,9 "
80 y mas anos ,9 ,1 ,"4,6 ",2 ,O ,"0,6 ",11 ,1 ,"2,0 "
Total ,610 ,,"6,4 ",642 ,,"6,5 ",1252 ,,"6,4 "
