,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,41 ,1.1 ,6.8 ,41 ,1.1 ,7.0 ,82 ,1.1 ,6.9 
05 09 anos ,29 ,0.8 ,4.4 ,38 ,1.0 ,6.0 ,67 ,0.9 ,5.2 
10 - 14 anos ,53 ,1.4 ,8.2 ,48 ,1.2 ,7.7 ,101 ,1.3 ,8.0 
15 19 anos ,79 ,2.0 ,12.3 ,113 ,2.9 ,18.2 ,192 ,2.5 ,15.2 
20 - 24 anos ,274 ,7.1 ,37.4 ,264 ,6.8 ,37.2 ,538 ,7.0 ,37.3 
25 29 anos ,457 ,11.8 ,54.6 ,494 ,12.8 ,60.9 ,951 ,12.3 ,57.7 
30 34 anos ,494 ,12.8 ,61.0 ,515 ,13.4 ,65.5 ,1009 ,13.1 ,63.2 
35 39 anos ,438 ,11.3 ,60.4 ,428 ,11.1 ,60.3 ,866 ,11.2 ,60.3 
40 44 anos ,393 ,10.2 ,58.2 ,387 ,10.0 ,57.6 ,780 ,10.1 ,57.9 
45 49 anos ,363 ,9.4 ,57.5 ,345 ,8.9 ,53.9 ,708 ,9.2 ,55.7 
50 54 anos ,323 ,8.4 ,53.7 ,317 ,8.2 ,50.9 ,640 ,8.3 ,52.3 
55 - 59 anos ,275 ,7.1 ,49.6 ,258 ,6.7 ,43.7 ,533 ,6.9 ,46.5 
60 64 anos ,214 ,5.5 ,45.4 ,199 ,5.2 ,38.4 ,413 ,5.4 ,41.7 
65 69 anos ,144 ,3.7 ,38.0 ,129 ,3.3 ,29.6 ,273 ,3.5 ,33.5 
70 74 anos ,118 ,3.1 ,44.7 ,100 ,2.6 ,31.3 ,218 ,2.8 ,37.4 
75 79 anos ,81 ,2.1 ,45.9 ,67 ,1.7 ,28.2 ,148 ,1.9 ,35.8 
80 y mas anos ,84 ,2.2 ,42.7 ,113 ,2.9 ,32.3 ,197 ,2.6 ,36.0 
Total ,3860 ,100 ,40.2 ,3856 ,100 ,39.1 ,7716 ,100 ,39.7 
