Grupoedad,No,Hombre%,Tasa#,No,Mujer%,Tasa#,NO,Total%,Tasa#
00 04 anos ,8 ,O ,"1,3 ",13 ,1 ,"2,2 ",21 ,1 ,"1,8 "
05 09 anos ,9 ,1 ,"1,4 ",15 ,1 ,"2,4 ",24 ,1 ,"1,9 "
10 14 anos ,13 ,1 ,"2,0 ",17 ,1 ,"2,7 ",30 ,1 ,"2,4 "
15 19 anos ,34 ,2 ,"5,3 ",43 ,3 ,"6,9 ",77 ,2 ,"6,1 "
20 24 anos ,99 ,6 ,"13,5 ",119 ,7 ,"16,8 ",218 ,6 ,"15,1 "
25 29 anos ,187 ,11 ,"22,3 ",222 ,13 ,"27,3 ",409 ,12 ,"24,8 "
30 34 anos ,226 ,13 ,"27,9 ",254 ,15 ,"32,3 ",480 ,14 ,"30,1 "
35 39 anos ,213 ,13 ,"29,4 ",206 ,12 ,"29,0 ",419 ,12 ,"29,2 "
40 44 anos ,188 ,11 ,"27,8 ",180 ,11 ,"26,8 ",368 ,11 ,"27,3 "
45 49 anos ,171 ,10 ,"27,1 ",156 ,9 ,"24,4 ",327 ,10 ,"25,7 "
50 54 anos ,142 ,8 ,"23,6 ",139 ,8 ,"22,3 ",281 ,8 ,"22,9 "
55 59 anos ,130 ,8 ,"23,4 ",110 ,6 ,"18,6 ",240 ,7 ,"21,0 "
60 64 anos ,91 ,5 ,"19,3 ",90 ,5 ,"17,4 ",181 ,5 ,"18,3 "
65 69 anos ,63 ,4 ,"16,6 ",52 ,3 ,"11,9 ",115 ,3 ,"14,1 "
70 74 anos ,48 ,3 ,"18,2 ",43 ,3 ,"13,5 ",91 ,3 ,"15,6 "
75 79 anos ,35 ,2 ,"19,8 ",29 ,2 ,"12,2 ",64 ,2 ,"15,5 "
80 y mas anos ,27 ,2 ,"13,7 ",26 ,2 ,"7,4 ",53 ,2 ,"9,7 "
,,,,,,,,,
