Grupoedad,No,Hombre%,Tasa,No,Mujer%,Tasa,No,Total%,Tasa
00 04 anos ,65 ,1.3 ,10.7 ,69 ,1.4 ,11.8 ,134 ,1.3 ,11.3 
05 - 09 anos ,44 ,0.9 ,6.7 ,55 ,1.1 ,8.7 ,99 ,1.0 ,7.7 
10 14 anos ,86 ,1.7 ,13.4 ,67 ,1.3 ,10.8 ,153 ,1.5 ,12.1 
15 19 anos ,113 ,2.3 ,17.6 ,152 ,3.0 ,24.5 ,265 ,2.6 ,21.0 
20 24 anos ,353 ,7.1 ,48.2 ,356 ,7.0 ,50.1 ,709 ,7.0 ,49.1 
25 29 anos ,596 ,11.9 ,71.2 ,622 ,12.2 ,76.6 ,1218 ,12.1 ,73.9 
30 34 anos ,625 ,12.5 ,77.1 ,659 ,12.9 ,83.8 ,1284 ,12.7 ,80.4 
35 39 anos ,567 ,11.4 ,78.2 ,570 ,11.2 ,80.3 ,1137 ,11.3 ,79.2 
40 44 anos ,484 ,9.7 ,71.7 ,513 ,10.1 ,76.4 ,997 ,9.9 ,74.0 
45 49 anos ,461 ,9.2 ,73.0 ,468 ,9.2 ,73.1 ,929 ,9.2 ,73.1 
50 54 anos ,403 ,8.1 ,67.1 ,406 ,8.0 ,65.1 ,809 ,8.0 ,66.1 
55 59 anos ,362 ,7.3 ,65.2 ,351 ,6.9 ,59.4 ,713 ,7.1 ,62.2 
60 64 anos ,274 ,5.5 ,58.2 ,251 ,4.9 ,48.4 ,525 ,5.2 ,53.1 
65 69 anos ,182 ,3.6 ,48.0 ,166 ,3.3 ,38.1 ,348 ,3.4 ,42.7 
70 74 anos ,157 ,3.1 ,59.5 ,137 ,2.7 ,42.9 ,294 ,2.9 ,50.4 
75 79 anos ,108 ,2.2 ,61.2 ,95 ,1.9 ,40.0 ,203 ,2.0 ,49.1 
80 y mas anos ,111 ,2.2 ,56.5 ,160 ,3.1 ,45.7 ,271 ,2.7 ,49.6 
Total ,4991 ,100 ,52.0 ,5097 ,100 ,51.7 ,10088 ,100 ,51.8 
