,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,106 ,1.6 ,17.5 ,110 ,1.7 ,18.8 ,216 ,1.6 ,18.1 
05 - 09 anos ,80 ,1.2 ,12.3 ,89 ,1.3 ,14.1 ,169 ,1.3 ,13.2 
10 - 14 anos ,119 ,1.8 ,18.5 ,113 ,1.7 ,18.2 ,232 ,1.7 ,18.3 
15 - 19 anos ,164 ,2.5 ,25.6 ,224 ,3.4 ,36.2 ,388 ,2.9 ,30.8 
20 24 anos ,473 ,7.1 ,64.5 ,496 ,7.5 ,69.8 ,969 ,7.3 ,67.1 
25 - 29 anos ,823 ,12.4 ,98.3 ,838 ,12.6 ,103.2 ,1661 ,12.5 ,100.7 
30 34 anos ,834 ,12.6 ,102.9 ,840 ,12.7 ,106.9 ,1674 ,12.6 ,104.9 
35 - 39 anos ,735 ,11.1 ,101.3 ,728 ,11.0 ,102.6 ,1463 ,11.0 ,101.9 
40 44 anos ,637 ,9.6 ,94.3 ,626 ,9.4 ,93.2 ,1263 ,9.5 ,93.8 
45 - 49 anos ,596 ,9.0 ,94.4 ,562 ,8.5 ,87.8 ,1158 ,8.7 ,91.1 
50 54 anos ,538 ,8.1 ,89.5 ,520 ,7.8 ,83.4 ,1058 ,8.0 ,86.4 
55 - 59 anos ,479 ,7.2 ,86.3 ,454 ,6.8 ,76.9 ,933 ,7.0 ,81.5 
60 64 anos ,346 ,5.2 ,73.5 ,304 ,4.6 ,58.6 ,650 ,4.9 ,65.7 
65 69 anos ,248 ,3.7 ,65.4 ,217 ,3.3 ,49.8 ,465 ,3.5 ,57.1 
70 74 anos ,178 ,2.7 ,67.4 ,169 ,2.5 ,52.9 ,347 ,2.6 ,59.5 
75 79 anos ,143 ,2.2 ,81.1 ,126 ,1.9 ,53.1 ,269 ,2.0 ,65.0 
80 y mas anos ,145 ,2.2 ,73.8 ,224 ,3.4 ,63.9 ,369 ,2.8 ,67.5 
Total ,6644 ,100 ,69.2 ,6640 ,100 ,67.3 ,13284 ,100 ,68.3 
