Grupoedad,No,Hombre%,Tasa,No,Mujer%,Tasa,No,Total%,Tasa
00 04 anos ,233 ,1.9 ,38.4 ,241 ,2.2 ,41.3 ,474 ,2.1 ,39.8 
05 09 anos ,173 ,1.4 ,26.5 ,171 ,1.6 ,27.2 ,344 ,1.5 ,26.8 
10 14 anos ,228 ,1.9 ,35.4 ,226 ,2.1 ,36.4 ,454 ,2.0 ,35.9 
15 19 anos ,324 ,2.7 ,50.6 ,386 ,3.5 ,62.3 ,710 ,3.1 ,56.3 
20 24 anos ,907 ,7.6 ,123.7 ,876 ,8.0 ,123.4 ,1783 ,7.7 ,123.5 
25 29 anos ,1564 ,13.0 ,186.8 ,1428 ,13.0 ,175.9 ,2992 ,13.0 ,181.4 
30 34 anos ,1553 ,12.9 ,191.7 ,1392 ,12.6 ,177.1 ,2945 ,12.8 ,184.5 
35 39 anos ,1337 ,11.1 ,184.3 ,1144 ,10.4 ,161.2 ,2481 ,10.8 ,172.9 
40 44 anos ,1125 ,9.4 ,166.6 ,1005 ,9.1 ,149.6 ,2130 ,9.3 ,158.1 
45 49 anos ,1013 ,8.4 ,160.5 ,886 ,8.0 ,138.4 ,1899 ,8.3 ,149.3 
50 54 anos ,951 ,7.9 ,158.2 ,820 ,7.4 ,131.5 ,1771 ,7.7 ,144.6 
55 59 anos ,841 ,7.0 ,151.6 ,749 ,6.8 ,126.8 ,1590 ,6.9 ,138.8 
60 64 anos ,621 ,5.2 ,131.8 ,480 ,4.4 ,92.6 ,1101 ,4.8 ,111.3 
65 69 anos ,412 ,3.4 ,108.7 ,351 ,3.2 ,80.6 ,763 ,3.3 ,93.7 
70 74 anos ,267 ,2.2 ,101.1 ,274 ,2.5 ,85.8 ,541 ,2.4 ,92.7 
75 79 anos ,208 ,1.7 ,117.9 ,203 ,1.8 ,85.5 ,411 ,1.8 ,99.3 
80 y mas anos ,245 ,2.0 ,124.7 ,377 ,3.4 ,107.6 ,622 ,2.7 ,113.7 
Total ,12002 ,100 ,125.0 ,11009 ,100 ,111.7 ,23011 ,100 ,118.3 
