,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 - 04 anos ,88 ,1.5 ,14.5 ,92 ,1.6 ,15.8 ,180 ,1.5 ,15.1 
05 - 09 anos ,61 ,1.0 ,9.3 ,76 ,1.3 ,12.1 ,137 ,1.2 ,10.7 
10 14 anos ,105 ,1.8 ,16.3 ,89 ,1.5 ,14.3 ,194 ,1.6 ,15.3 
15 - 19 anos ,136 ,2.3 ,21.2 ,190 ,3.2 ,30.7 ,326 ,2.8 ,25.9 
20 24 anos ,419 ,7.1 ,57.2 ,426 ,7.2 ,60.0 ,845 ,7.2 ,58.6 
25 - 29 anos ,715 ,12.1 ,85.4 ,750 ,12.7 ,92.4 ,1465 ,12.4 ,88.8 
30 34 anos ,736 ,12.5 ,90.8 ,756 ,12.8 ,96.2 ,1492 ,12.6 ,93.5 
35 39 anos ,656 ,11.1 ,90.4 ,656 ,11.1 ,92.4 ,1312 ,11.1 ,91.4 
40 44 anos ,575 ,9.8 ,85.1 ,568 ,9.6 ,84.6 ,1143 ,9.7 ,84.9 
45 49 anos ,535 ,9.1 ,84.8 ,516 ,8.7 ,80.6 ,1051 ,8.9 ,82.7 
50 - 54 anos ,476 ,8.1 ,79.2 ,466 ,7.9 ,74.8 ,942 ,8.0 ,76.9 
55 59 anos ,424 ,7.2 ,76.4 ,403 ,6.8 ,68.2 ,827 ,7.0 ,72.2 
60 64 anos ,314 ,5.3 ,66.7 ,287 ,4.8 ,55.4 ,601 ,5.1 ,60.7 
65 - 69 anos ,226 ,3.8 ,59.6 ,190 ,3.2 ,43.6 ,416 ,3.5 ,51.1 
70 74 anos ,168 ,2.9 ,63.6 ,149 ,2.5 ,46.7 ,317 ,2.7 ,54.3 
75 79 anos ,131 ,2.2 ,74.3 ,113 ,1.9 ,47.6 ,244 ,2.1 ,59.0 
80 y mas anos ,127 ,2.2 ,64.6 ,193 ,3.3 ,55.1 ,320 ,2.7 ,58.5 
