edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa (#) ,NO ,% ,Tasa (#) ,NO ,% ,Tasa (#) 
- 04 anos ,5 ,1 ,0.8 ,7 ,1 ,1.2 ,12 ,1 ,1.0 
- 09 anos ,2 ,O ,0.3 ,5 ,1 ,0.8 ,7 ,O ,0.5 
14 anos ,8 ,1 ,1.2 ,4 ,1 ,0.6 ,12 ,1 ,0.9 
19 anos ,13 ,2 ,2.0 ,16 ,2 ,2.6 ,29 ,2 ,2.3 
24 anos ,35 ,5 ,4.8 ,54 ,7 ,7.6 ,89 ,6 ,6.2 
29 anos ,87 ,12 ,10.4 ,91 ,12 ,11.2 ,178 ,12 ,10.8 
34 anos ,115 ,16 ,14.2 ,113 ,15 ,14.4 ,228 ,16 ,14.3 
39 anos ,96 ,14 ,13.2 ,103 ,14 ,14.5 ,199 ,14 ,13.9 
44 anos ,82 ,12 ,12.1 ,90 ,12 ,13.4 ,172 ,12 ,12.8 
49 anos ,69 ,10 ,10.9 ,69 ,9 ,10.8 ,138 ,10 ,10.9 
54 anos ,53 ,8 ,8.8 ,54 ,7 ,8.7 ,107 ,7 ,8.7 
59 anos ,44 ,6 ,7.9 ,39 ,5 ,6.6 ,83 ,6 ,7.2 
64 anos ,31 ,4 ,6.6 ,38 ,5 ,7.3 ,69 ,5 ,7.0 
69 anos ,23 ,3 ,6.1 ,20 ,3 ,4.6 ,43 ,3 ,5.3 
74 anos ,23 ,3 ,8.7 ,13 ,2 ,4.1 ,36 ,3 ,6.2 
79 anos ,9 ,1 ,5.1 ,11 ,2 ,4.6 ,20 ,1 ,4.8 
y mas anos ,9 ,1 ,4.6 ,3 ,O ,0.9 ,12 ,1 ,2.2 
Total ,704 ,,7.3 ,730 ,,7.4 ,1434 ,,7.4 
