Grupoedad,No,%,Tasa#,No,%,Tasa#,No,%,Tasa#
00 04 anos ,5 ,O ,0.8 ,10 ,1 ,1.7 ,15 ,1 ,1.3 
05 09 anos ,4 ,O ,0.6 ,9 ,1 ,1.4 ,13 ,1 ,1.0 
10 14 anos ,10 ,1 ,1.6 ,9 ,1 ,1.4 ,19 ,1 ,1.5 
15 19 anos ,18 ,2 ,2.8 ,25 ,2 ,4.0 ,43 ,2 ,3.4 
20 24 anos ,58 ,6 ,7.9 ,66 ,6 ,9.3 ,124 ,6 ,8.6 
25 29 anos ,116 ,11 ,13.9 ,131 ,13 ,16.1 ,247 ,12 ,15.0 
30 34 anos ,149 ,14 ,18.4 ,160 ,15 ,20.4 ,309 ,15 ,19.4 
35 39 anos ,142 ,14 ,19.6 ,129 ,12 ,18.2 ,271 ,13 ,18.9 
40 44 anos ,125 ,12 ,18.5 ,113 ,11 ,16.8 ,238 ,11 ,17.7 
45 49 anos ,108 ,10 ,17.1 ,105 ,10 ,16.4 ,213 ,10 ,16.8 
50 54 anos ,83 ,8 ,13.8 ,79 ,8 ,12.7 ,162 ,8 ,13.2 
55 59 anos ,76 ,7 ,13.7 ,66 ,6 ,11.2 ,142 ,7 ,12.4 
60 64 anos ,56 ,5 ,11.9 ,53 ,5 ,10.2 ,109 ,5 ,11.0 
65 69 anos ,38 ,4 ,10.0 ,35 ,3 ,8.0 ,73 ,3 ,9.0 
70 74 anos ,30 ,3 ,11.4 ,22 ,2 ,6.9 ,52 ,2 ,8.9 
75 79 anos ,18 ,2 ,10.2 ,14 ,1 ,5.9 ,32 ,2 ,7.7 
80 y mas anos ,15 ,1 ,7.6 ,11 ,1 ,3.1 ,26 ,1 ,4.8 
Total ,1051 ,,10.9 ,1037 ,,10.5 ,2088 ,,10.7 
