edad,,Hombre,,,Mujer,,,Total,
Grupo ,NO ,% ,Tasa # ,No ,% ,Tasa # ,NO ,% ,Tasa # 
00 - 04 anos ,7 ,O ,"1,2 ",12 ,1 ,"2,1 ",19 ,1 ,"1,6 "
05 - 09 anos ,7 ,O ,"1,1 ",12 ,1 ,"1,9 ",19 ,1 ,"1,5 "
10 14 anos ,12 ,1 ,"1,9 ",15 ,1 ,"2,4 ",27 ,1 ,"2,1 "
15 - 19 anos ,27 ,2 ,"4,2 ",35 ,2 ,"5,7 ",62 ,2 ,"4,9 "
20 - 24 anos ,84 ,6 ,"11,5 ",101 ,7 ,"14,2 ",185 ,6 ,"12,8 "
25 - 29 anos ,154 ,11 ,"18,4 ",182 ,12 ,"22,4 ",336 ,11 ,"20,4 "
30 - 34 anos ,199 ,14 ,"24,6 ",221 ,15 ,"28,1 ",420 ,14 ,"26,3 "
35 39 anos ,185 ,13 ,"25,5 ",181 ,12 ,"25,5 ",366 ,12 ,"25,5 "
40 - 44 anos ,164 ,11 ,"24,3 ",160 ,11 ,"23,8 ",324 ,11 ,"24,1 "
45 - 49 anos ,151 ,10 ,"23,9 ",141 ,10 ,"22,0 ",292 ,10 ,"23,0 "
50 - 54 anos ,124 ,8 ,"20,6 ",119 ,8 ,"19,1 ",243 ,8 ,"19,8 "
55 - 59 anos ,116 ,8 ,"20,9 ",94 ,6 ,"15,9 ",210 ,7 ,"18,3 "
60 - 64 anos ,83 ,6 ,"17,6 ",78 ,5 ,"15,0 ",161 ,5 ,"16,3 "
65 - 69 anos ,55 ,4 ,"14,5 ",48 ,3 ,"11,0 ",103 ,4 ,"12,6 "
70 - 74 anos ,43 ,3 ,"16,3 ",33 ,2 ,"10,3 ",76 ,3 ,"13,0 "
75 - 79 anos ,27 ,2 ,"15,3 ",24 ,2 ,"10,1 ",51 ,2 ,"12,3 "
80 y mas anos ,25 ,2 ,"12,7 ",19 ,1 ,"5,4 ",44 ,1 ,"8,0 "
Total ,1463 ,,"15,2 ",1475 ,,"15,0 ",2938 ,,"15,1 "
