Region,Codigoregion,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica y Parinacota,15,12 ,53 ,1% ,O 
Tarapacá,01,2 ,23 ,0% ,0 
Antofagasta,02,1 ,69 ,1% ,1 
Atacama,03,1 ,6 ,0% ,O 
Coquimbo,04,1 ,52 ,1% ,O 
Valparaíso,05,16 ,214 ,4% ,1 
Metropolitana,13,106 ,2.350 ,46% ,12 
O’Higgins,06,0 ,42 ,1% ,O 
Maule,07,O ,108 ,2% ,2 
Ñuble,16,48 ,522 ,10% ,5 
Biobío,08,27 ,410 ,8% ,2 
Araucanía,09,50 ,612 ,12% ,14 
Los Ríos,14,5 ,109 ,2% ,2 
Los Lagos,10,13 ,299 ,6% ,2 
Aysén,11,O ,7 ,0% ,O 
Magallanes,12,19 ,240 ,5% ,2 
Total,,301 ,5.116 ,100% ,43 
