Region,Codigoregion,Casosnuevos,CasosTotales,%Tota,Fallecidos
Arica y Parinacota,15,16 ,28 ,1% ,O 
Tarapacá,01,3 ,20 ,0% ,O 
Antofagasta,02,5 ,60 ,1% ,O 
Atacama,03,O ,5 ,0% ,O 
Coquimbo,04,6 ,50 ,1% ,O 
Valparaíso,05,6 ,191 ,4% ,1 
Metropolitana,13,145 ,2.102 ,47% ,10 
O’Higgins,06,3 ,41 ,1% ,O 
Maule,07,6 ,103 ,2% ,1 
Ñuble,16,24 ,425 ,10% ,3 
Biobío,08,18 ,365 ,8% ,2 
Araucanía,09,32 ,509 ,11% ,13 
Los Ríos,14,10 ,99 ,2% ,1 
Los Lagos,10,17 ,276 ,6% ,1 
Aysén,11,1 ,7 ,0% ,0 
Magallanes,12,18 ,190 ,4% ,2 
Total,,310 ,4.471 ,100% ,34 
