Region,Codigoregion,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica y Parinacota,15,10 ,63 ,1% ,O 
Tarapacá,01,3 ,26 ,0% ,O 
Antofagasta,02,8 ,77 ,1% ,1 
Atacama,03,2 ,8 ,0% ,O 
Coquimbo,04,4 ,56 ,1% ,O 
Valparaíso,05,11 ,225 ,4% ,2 
Metropolitana,13,198 ,2.548 ,46% ,14 
O’Higgins,06,1 ,43 ,1% ,O 
Maule,07,11 ,119 ,2% ,2 
Ñuble,16,39 ,561 ,10% ,5 
Biobío,08,29 ,439 ,8% ,2 
Araucanía,09,57 ,669 ,12% ,15 
Los Ríos,14,5 ,114 ,2% ,2 
Los Lagos,10,26 ,325 ,6% ,2 
Aysén,11,O ,7 ,0% ,O 
Magallanes,12,26 ,266 ,5% ,3 
Total,,430 ,5.546 ,100% ,48 
