Region,Codigoregion,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica y Parinacota,15,13 ,41 ,1% ,O 
Tarapacá,01,1 ,21 ,0% ,0 
Antofagasta,02,8 ,68 ,1% ,O 
Atacama,03,O ,5 ,0% ,O 
Coquimbo,04,1 ,51 ,1% ,O 
Valparaíso,05,7 ,198 ,4% ,1 
Metropolitana,13,142 ,2.244 ,47% ,10 
O’Higgins,06,1 ,42 ,1% ,O 
Maule,07,5 ,108 ,2% ,1 
Ñuble,16,49 ,474 ,10% ,4 
Biobío,08,18 ,383 ,8% ,2 
Araucanía,09,53 ,562 ,12% ,14 
Los Ríos,14,5 ,104 ,2% ,1 
Los Lagos,10,10 ,286 ,6% ,2 
Aysén,11,O ,7 ,0% ,O 
Magallanes,12,31 ,221 ,5% ,2 
Total,,344 ,4.815 ,100% ,37 
