Region,Codigoregion,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica y Parinacota,15,O ,12 ,0% ,O 
Tarapacá,01,4 ,17 ,0% ,O 
Antofagasta,02,1 ,55 ,1% ,O 
Atacama,03,O ,5 ,0% ,O 
Coquimbo,04,9 ,44 ,1% ,0 
Valparaíso,05,9 ,185 ,4% ,1 
Metropolitana,13,215 ,1.957 ,47% ,9 
O’Higgins,06,5 ,38 ,1% ,O 
Maule,07,8 ,97 ,2% ,1 
Ñuble,16,31 ,401 ,10% ,2 
Biobío,08,45 ,347 ,8% ,2 
Araucanía,09,45 ,477 ,11% ,9 
Los Ríos,14,11 ,89 ,2% ,1 
Los Lagos,10,25 ,259 ,6% ,0 
Aysén,11,O ,6 ,0% ,O 
Magallanes,12,16 ,172 ,4% ,2 
Total,,424 ,4.161 ,100% ,27 
