,,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE 15 ,SE 16 ,SE SE 17 18 
Alhue ,7405 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O ,O 0 ,O ,O ,0 ,0 O 
Buin& ,109641 ,60 ,54.7 ,16 ,14.6 ,16 ,14.6 ,O O 1 ,4 18 ,8 ,13 ,10 ,6 O 
Calera de Tango ,28525 ,15 ,52.6 ,5 ,17.5 ,5 ,17.5 ,O 0 O ,4 4 ,1 ,1 ,4 ,1 O 
Cerrillos ,88956 ,80 ,89.9 ,29 ,32.6 ,29 ,32.6 ,O 1 2 ,4 9 ,12 ,20 ,17 ,15 O 
Cerro Navia ,142465 ,135 ,94.8 ,50 ,35.1 ,50 ,35.1 ,O 0 10 ,12 11 ,12 ,35 ,38 ,17 O 
Colina ,180353 ,103 ,57.1 ,20 ,11.1 ,20 ,11.1 ,O 4 6 ,28 14 ,17 ,13 ,11 ,10 0 
Conchali ,139195 ,113 ,81.2 ,49 ,35.2 ,49 ,35.2 ,O O 1 ,15 12 ,15 ,20 ,31 ,19 O 
Curacavis ,36430 ,15 ,41.2 ,O ,0.0 ,0 ,0.0 ,O 0 1 ,2 4 ,4 ,4 ,O ,O O 
EI Bosque& ,172000 ,177 ,102.9 ,66 ,38.4 ,66 ,38.4 ,0 0 2 ,14 21 ,27 ,45 ,39 ,29 0 
EI Monte ,40014 ,16 ,40.0 ,4 ,10.0 ,4 ,10.0 ,O O O ,1 1 ,6 ,4 ,1 ,3 0 
Estacion Central ,206792 ,207 ,100.1 ,95 ,45.9 ,95 ,45.9 ,O 1 2 ,11 25 ,30 ,36 ,60 ,42 O 
Huechuraba ,112528 ,82 ,72.9 ,19 ,16.9 ,19 ,16.9 ,0 O 4 ,18 7 ,16 ,16 ,18 ,3 0 
Independencia ,142065 ,246 ,173.2 ,160 ,112.6 ,159 ,111.9 ,O O 3 ,13 8 ,19 ,38 ,106 ,59 O 
Isla de Maipo ,40171 ,13 ,32.4 ,2 ,5.0 ,2 ,5.0 ,O O 0 ,2 1 ,6 ,2 ,0 ,2 O 
La Cisterna ,100434 ,84 ,83.6 ,31 ,30.9 ,30 ,29.9 ,O 0 O ,10 9 ,13 ,18 ,19 ,15 0 
La Florida& ,402433 ,328 ,81.5 ,112 ,27.8 ,112 ,27.8 ,0 2 12 ,29 54 ,53 ,57 ,79 ,42 O 
La Granja ,122557 ,95 ,77.5 ,33 ,26.9 ,33 ,26.9 ,O 0 1 ,6 13 ,25 ,17 ,16 ,17 O 
La Pintana& ,189335 ,195 ,103.0 ,97 ,51.2 ,96 ,50.7 ,0 0 3 ,6 17 ,26 ,40 ,57 ,46 0 
La Reina ,100252 ,84 ,83.8 ,24 ,23.9 ,24 ,23.9 ,1 0 12 ,14 11 ,14 ,6 ,9 ,17 O 
Lampa ,126898 ,68 ,53.6 ,23 ,18.1 ,23 ,18.1 ,0 O O ,8 13 ,13 ,11 ,11 ,12 O 
