SanClemente,46292,447,965.6,,4,8.6,,80
,,,,,,,,
San Rafael ,9959 ,120 ,1204.9 ,,O ,0.0 ,,8 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Yerbas Buenas ,19200 ,110 ,572.9 ,,5 ,26.0 ,,12 
Desconocido ,& - ,44 ,- ,,0 ,- ,,7 
,,,,,,,,
,,,,,,,,
,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE ,SE ,SE SE ,SE ,SE 
Comuna ,,,,,,,,
,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 ,21 ,22 23 ,24 ,25 
Cauquenes ,& 0 0 0 O ,2 3 1 ,9 2 1 6 ,13 ,14 ,52 54 ,44 ,51 
Chanco ,O O O O ,1 O O ,1 1 O 1 ,O ,1 ,O 8 ,6 ,9 
Colbun ,& O O O O ,3 3 O ,O O 1 4 ,9 ,13 ,15 10 ,22 ,23 
Constitucion ,& O O O O ,3 3 5 ,7 4 1 2 ,3 ,5 ,6 20 ,24 ,45 
Curepto ,0 0 0 0 ,0 3 2 ,3 O 1 1 ,2 ,0 ,1 1 ,3 ,10 
Curico ,& O 1 2 3 ,6 3 12 ,10 10 12 20 ,45 ,149 ,192 275 ,263 ,234 
Empedrado ,O O O O ,O O O ,O O O O ,O ,O ,O 2 ,6 ,14 
Hualane ,0 O 0 O ,0 O O ,1 0 0 O ,3 ,15 ,29 29 ,20 ,11 
Licanten ,O O O O ,0 1 0 ,1 0 0 O ,0 ,0 ,2 5 ,4 ,5 
Linares ,& 1 O 0 2 ,5 5 4 ,6 3 4 13 ,17 ,18 ,30 42 ,81 ,92 
Longavi ,O O O 1 ,O 1 1 ,1 O 2 5 ,12 ,11 ,23 28 ,52 ,33 
Maule ,& 0 O O 1 ,1 2 6 ,12 3 0 3 ,13 ,13 ,30 34 ,34 ,48 
Molina ,& 0 O 0 1 ,2 0 1 ,3 0 O 2 ,4 ,9 ,22 23 ,23 ,44 
Parral ,& 0 O O 1 ,3 2 2 ,2 O O 6 ,7 ,42 ,55 31 ,24 ,30 
