,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,,SE SE SE 17 18 19 
Ancud& ,42458 ,66 ,155.4 ,34 ,80.1 ,34 ,80.1 ,0 O O O ,1 O ,6 3 ,,1 22 18 
Calbuco ,36744 ,8 ,21.8 ,1 ,2.7 ,1 ,2.7 ,O O 0 3 ,1 1 ,1 1 ,,O 0 1 
Castro ,47607 ,8 ,16.8 ,1 ,2.1 ,1 ,2.1 ,0 0 0 2 ,0 5 ,0 0 ,,O 0 1 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O 0 O ,1 O ,O O ,,O O 0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O ,O O ,O O ,,O O O 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O O ,1 0 ,,O O O 
Curaco de Velez ,4066 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,O 0 ,0 0 ,,0 0 O 
Dalcahue ,15069 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O ,O O ,O O ,,O O 0 
Fresia ,12656 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,O 0 ,0 0 ,,O 0 O 
Frutillar ,20223 ,7 ,34.6 ,1 ,4.9 ,1 ,4.9 ,O O 0 0 ,1 3 ,2 0 ,,O 0 1 
Futaleufu ,2806 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O O ,O O ,,0 O O 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O ,3 O ,0 0 ,,O O O 
Llanquihue ,18621 ,6 ,32.2 ,5 ,26.9 ,5 ,26.9 ,0 O 0 0 ,1 O ,0 0 ,,O 0 5 
Los Muermos ,17817 ,2 ,11.2 ,1 ,5.6 ,1 ,5.6 ,0 O O 1 ,O O ,0 0 ,,O 0 1 
Maullin ,14894 ,3 ,20.1 ,2 ,13.4 ,2 ,13.4 ,O O O O ,O O ,1 O ,,O O O 
Osorno ,173410 ,341 ,196.6 ,19 ,11.0 ,19 ,11.0 ,O O 3 58 ,104 66 ,37 18 ,,15 19 13 
Palena ,1827 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,O O ,0 O ,,O O O 
Puerto Montt& ,269398 ,63 ,23.4 ,10 ,3.7 ,10 ,3.7 ,O 1 1 13 ,18 11 ,3 5 ,,1 1 4 
Puerto Octay ,9192 ,5 ,54.4 ,2 ,21.8 ,2 ,21.8 ,O O 0 1 ,O O ,0 1 ,,1 O 2 
Puerto Varas ,48620 ,9 ,18.5 ,1 ,2.1 ,1 ,2.1 ,0 O 1 O ,2 3 ,2 O ,,O O O 
Puqueldon ,4201 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 0 ,0 0 ,0 0 ,,0 0 O 
