Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& ,44143 ,405 ,917.5 ,9 ,20.4 ,7 ,15.9 ,7 ,15.9 
Chanco ,,9331 ,48 ,514.4 ,1 ,10.7 ,O ,0.0 ,0 ,0.0 
Colbun ,,22565 ,229 ,1014.8 ,1 ,4.4 ,33 ,146.2 ,33 ,146.2 
Constitucion ,,50348 ,388 ,770.6 ,6 ,11.9 ,27 ,53.6 ,27 ,53.6 
Curepto ,,9426 ,66 ,700.2 ,4 ,42.4 ,16 ,169.7 ,16 ,169.7 
Curico ,& ,163626 ,2182 ,1333.5 ,46 ,28.1 ,111 ,67.8 ,111 ,67.8 
Empedrado ,,4206 ,33 ,784.6 ,0 ,0.0 ,2 ,47.6 ,2 ,47.6 
Hualane ,& ,10222 ,115 ,1125.0 ,2 ,19.6 ,O ,0.0 ,O ,0.0 
Licanten ,& ,6989 ,26 ,372.0 ,3 ,42.9 ,3 ,42.9 ,3 ,42.9 
Linares ,& ,101073 ,824 ,815.3 ,18 ,17.8 ,106 ,104.9 ,104 ,102.9 
Longavi ,& ,32810 ,298 ,908.3 ,2 ,6.1 ,29 ,88.4 ,29 ,88.4 
Maule ,& ,60000 ,490 ,816.7 ,4 ,6.7 ,42 ,70.0 ,42 ,70.0 
Molina ,& ,49800 ,308 ,618.5 ,13 ,26.1 ,35 ,70.3 ,35 ,70.3 
Parra ,,44544 ,291 ,653.3 ,3 ,6.7 ,19 ,42.7 ,19 ,42.7 
Pelarco ,,9083 ,133 ,1464.3 ,2 ,22.0 ,19 ,209.2 ,19 ,209.2 
Pelluhue ,,8092 ,72 ,889.8 ,2 ,24.7 ,3 ,37.1 ,3 ,37.1 
Pencahue ,,8601 ,57 ,662.7 ,0 ,0.0 ,1 ,11.6 ,1 ,11.6 
Rauco ,& ,11248 ,114 ,1013.5 ,1 ,8.9 ,7 ,62.2 ,7 ,62.2 
Retiro ,,21071 ,162 ,768.8 ,0 ,0.0 ,20 ,94.9 ,20 ,94.9 
Rio Claro ,,14753 ,111 ,752.4 ,6 ,40.7 ,17 ,115.2 ,17 ,115.2 
Romeral ,,16170 ,276 ,1706.9 ,5 ,30.9 ,20 ,123.7 ,19 ,117.5 
