Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,277 ,2.0 ,45.7 ,275 ,2.2 ,47.1 ,552 ,2.1 ,46.4 
05 09 anos ,194 ,1.4 ,29.7 ,194 ,1.6 ,30.8 ,388 ,1.5 ,30.3 
10 14 anos ,247 ,1.8 ,38.4 ,255 ,2.1 ,41.0 ,502 ,1.9 ,39.7 
15 19 anos ,370 ,2.7 ,57.8 ,432 ,3.5 ,69.7 ,802 ,3.1 ,63.6 
20 24 anos ,1045 ,7.7 ,142.6 ,979 ,8.0 ,137.9 ,2024 ,7.8 ,140.2 
25 29 anos ,1747 ,12.8 ,208.6 ,1615 ,13.1 ,198.9 ,3362 ,13.0 ,203.9 
30 34 anos ,1807 ,13.2 ,223.0 ,1539 ,12.5 ,195.8 ,3346 ,12.9 ,209.6 
35 39 anos ,1506 ,11.0 ,207.6 ,1268 ,10.3 ,178.6 ,2774 ,10.7 ,193.3 
40 44 anos ,1272 ,9.3 ,188.4 ,1119 ,9.1 ,166.6 ,2391 ,9.2 ,177.5 
45 49 anos ,1177 ,8.6 ,186.5 ,988 ,8.0 ,154.3 ,2165 ,8.3 ,170.3 
50 54 anos ,1082 ,7.9 ,180.0 ,902 ,7.3 ,144.7 ,1984 ,7.6 ,162.0 
55 59 anos ,956 ,7.0 ,172.3 ,828 ,6.7 ,140.2 ,1784 ,6.9 ,155.7 
60 64 anos ,716 ,5.2 ,152.0 ,555 ,4.5 ,107.1 ,1271 ,4.9 ,128.5 
65 69 anos ,468 ,3.4 ,123.5 ,399 ,3.2 ,91.6 ,867 ,3.3 ,106.4 
70 74 anos ,296 ,2.2 ,112.1 ,300 ,2.4 ,94.0 ,596 ,2.3 ,102.2 
75 79 anos ,225 ,1.6 ,127.6 ,231 ,1.9 ,97.3 ,456 ,1.8 ,110.2 
80 y mas anos ,269 ,2.0 ,136.9 ,419 ,3.4 ,119.6 ,688 ,2.7 ,125.8 
Total ,13654 ,100 ,142.2 ,12298 ,100 ,124.7 ,25952 ,100 ,133.4 
