,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
Aisen ,25002 ,1 ,4.0 ,O ,0.0 ,0 ,0.0 ,O O 1 O O O O O O 0 0 O O 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,0 ,0.0 ,O O O O O 1 0 O O O O O O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O 
Coyhaique ,61210 ,3 ,4.9 ,1 ,1.6 ,1 ,1.6 ,O O 1 O O 1 O O O O 1 O O 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O O O O O O O 0 O O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O O O 0 O O 0 O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O 0 O O O 0 O O 
Rio ibanez ,2699 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O 
Tortel ,572 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O 
Total ,107297 ,5 ,4.7 ,1 ,0.9 ,1 ,0.9 ,0 0 2 0 0 2 0 0 0 0 1 0 0 
