,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Task de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE SE 17 18 19 20 
Aisen ,25002 ,1 ,4.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 0 ,0 0 ,0 O ,0 0 O 0 
Chile Chico ,5121 ,1 ,19.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 1 ,0 0 ,0 0 O 0 
Cisnes ,5828 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 0 0 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 0 ,0 0 ,0 0 0 0 
Coyhaique ,61210 ,3 ,4.9 ,1 ,1.6 ,1 ,1.6 ,0 0 1 0 ,0 1 ,0 0 ,0 0 1 0 
Guaitecas ,1599 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 ,0 O ,0 0 O 0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 0 0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 O 0 
RiO Ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 0 0 
Tortel ,572 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 0 0 
Total ,107297 ,5 ,4.7 ,1 ,0.9 ,1 ,0.9 ,0 0 2 0 ,0 2 ,0 0 ,0 0 1 0 
