,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,18328 ,11.2 ,4641 ,30.8 
Diabetes ,8015 ,4.9 ,2935 ,19.5 
Obesidad ,4199 ,2.6 ,989 ,6.6 
Asma ,4010 ,2.4 ,645 ,4.3 
Enfermedad cardiovascular ,1134 ,0.7 ,643 ,4.3 
Enfermedad pulmonar cronica ,925 ,0.6 ,631 ,4.2 
Cardiopatia cronica ,878 ,0.5 ,611 ,4.1 
Enfermedad renal cronica ,737 ,0.4 ,488 ,3.2 
Enfermedad neurologica cronica ,493 ,0.3 ,394 ,2.6 
nmunocomprometido ,106 ,0.1 ,160 ,1.1 
Enfermedad hepatica cronica ,123 ,0.1 ,148 ,1.0 
