,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionOTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ,SE SE SE 25 26 27 
Corral ,5447 ,24 ,440.6 ,0 ,0.0 ,1 ,18.4 ,1 ,18.4 ,O O 0 O O 0 0 1 O 0 6 4 2 2 5 2 ,1 1 0 
Futrono ,15261 ,60 ,393.2 ,0 ,0.0 ,1 ,6.6 ,1 ,6.6 ,O O 0 1 3 1 0 0 0 O 1 5 19 8 15 5 ,1 1 0 
La Union ,39538 ,93 ,235.2 ,2 ,5.1 ,10 ,25.3 ,10 ,25.3 ,O O 1 5 8 4 6 9 5 2 2 2 2 6 11 12 ,8 7 3 
Lago Ranco ,10292 ,7 ,68.0 ,O ,0.0 ,4 ,38.9 ,4 ,38.9 ,O O 0 1 1 O O 0 O O O 0 O 0 0 0 ,1 4 O 
Lanco ,17652 ,28 ,158.6 ,0 ,0.0 ,1 ,5.7 ,1 ,5.7 ,0 0 0 0 1 2 1 2 1 3 O 0 O 1 3 10 ,3 1 0 
Los Lagos8 ,20518 ,64 ,311.9 ,1 ,4.9 ,0 ,0.0 ,O ,0.0 ,0 O 0 O 0 O 0 0 O 0 O 1 12 11 14 22 ,4 O 0 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 1 0 O 0 1 O 0 O 1 2 0 2 12 ,1 0 0 
Mariquina ,23250 ,22 ,94.6 ,0 ,0.0 ,1 ,4.3 ,1 ,4.3 ,O 0 0 3 1 4 1 0 O 0 2 1 3 2 0 3 ,1 1 0 
Paillaco ,20798 ,32 ,153.9 ,O ,0.0 ,2 ,9.6 ,2 ,9.6 ,O O 0 1 0 0 0 0 O 0 0 8 13 3 O 2 ,3 O 2 
Panguipulli ,35991 ,57 ,158.4 ,1 ,2.8 ,6 ,16.7 ,6 ,16.7 ,O O 0 O 0 O 0 1 O 1 O 4 4 8 18 7 ,8 6 0 
Rio Bueno ,32925 ,27 ,82.0 ,O ,0.0 ,5 ,15.2 ,5 ,15.2 ,O O 0 3 1 3 2 1 2 1 O 0 3 1 1 1 ,3 4 1 
Valdivia ,176774 ,346 ,195.7 ,6 ,3.4 ,66 ,37.3 ,66 ,37.3 ,O 1 1 25 32 25 18 9 8 4 2 10 30 24 16 33 ,42 52 14 
Desconocido& ,- ,6 ,- ,O ,-- ,0 ,- ,0 ,- ,O O O 1 O O 0 2 O 0 O 0 O 1 O 1 ,1 0 O 
Total ,405835 ,786 ,193.7 ,10 ,2.5 ,97 ,23.9 ,97 ,23.9 ,0 1 2 41 47 39 28 26 16 11 13 36 90 67 85 110 ,77 77 20 
