,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,N ,% ,No ,% 
Cefalea ,195376 ,60.6 ,7727 ,32.4 
Mialgia ,183569 ,56.9 ,9840 ,41.2 
Tos ,183196 ,56.8 ,14507 ,60.8 
Fiebre ,117889 ,36.5 ,11482 ,48.1 
Odinofagia ,108064 ,33.5 ,3961 ,16.6 
"Anosmia"" ",60617 ,18.8 ,1231 ,5.2 
Ageusia ,48015 ,14.9 ,1045 ,4.4 
Disnea ,37543 ,11.6 ,11056 ,46.3 
Diarrea ,33528 ,10.4 ,2054 ,8.6 
Dolor toracico ,30311 ,9.4 ,2761 ,11.6 
Dolor abdominal ,19769 ,6.1 ,1617 ,6.8 
Taquipnea ,3731 ,1.2 ,3427 ,14.4 
Cianosis ,342 ,0.1 ,568 ,2.4 
