Fecha,Fechanotificacion,Fechaprimerossintomas
22-02-20 ,O ,1 
23-02-20 ,O ,1 
24-02-20 ,O ,2 
25-02-20 ,O ,11 
26-02-20 ,O ,3 
27-02-20 ,O ,4 
28-02-20 ,1 ,4 
29-02-20 ,0 ,1 
01-03-20 ,0 ,10 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,9 
05-03-20 ,4 ,31 
06-03-20 ,2 ,15 
07-03-20 ,2 ,14 
08-03-20 ,6 ,23 
09-03-20 ,2 ,35 
10-03-20 ,12 ,65 
11-03-20 ,17 ,51 
12-03-20 ,14 ,70 
13-03-20 ,24 ,118 
14-03-20 ,49 ,153 
15-03-20 ,50 ,178 
16-03-20 ,87 ,282 
17-03-20 ,151 ,259 
18-03-20 ,113 ,275 
19-03-20 ,156 ,299 
20-03-20 ,177 ,367 
21-03-20 ,168 ,314 
22-03-20 ,160 ,304 
23-03-20 ,215 ,397 
24-03-20 ,291 ,334 
25-03-20 ,361 ,346 
26-03-20 ,380 ,349 
27-03-20 ,391 ,363 
28-03-20 ,286 ,327 
29-03-20 ,307 ,293 
30-03-20 ,387 ,398 
31-03-20 ,363 ,338 
01-04-20 ,355 ,483 
02-04-20 ,453 ,400 
03-04-20 ,433 ,398 
04-04-20 ,334 ,390 
05-04-20 ,256 ,357 
06-04-20 ,514 ,480 
07-04-20 ,543 ,439 
08-04-20 ,489 ,419 
09-04-20 ,475 ,470 
10-04-20 ,269 ,473 
11-04-20 ,320 ,371 
