,,,,,Numero,deCasos,segunFechade,IniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 
Algarrobo ,15174 ,10 ,65.9 ,1 ,6.6 ,1 ,6.6 ,O O 1 4 
Cabildo ,20663 ,4 ,19.4 ,4 ,19.4 ,4 ,19.4 ,
Calera ,53591 ,22 ,41.1 ,3 ,5.6 ,3 ,5.6 ,O O O 1 
Calle Larga ,16482 ,6 ,36.4 ,0 ,0.0 ,O ,0.0 ,
Cartagena ,25357 ,8 ,31.5 ,6 ,23.7 ,6 ,23.7 ,
Casablanca ,29170 ,3 ,10.3 ,O ,0.0 ,O ,0.0 ,O O O 1 
Catemu ,15213 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O 
Con Con & ,45889 ,19 ,41.4 ,8 ,17.4 ,8 ,17.4 ,O O O 2 
EI Quisco ,17742 ,11 ,62.0 ,2 ,11.3 ,1 ,5.6 ,
EI Tabo ,14338 ,13 ,90.7 ,5 ,34.9 ,5 ,34.9 ,O O 0 O 
Hijuelas ,19099 ,1 ,5.2 ,O ,0.0 ,O ,0.0 ,O O O O 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O O 2 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,
La Cruz ,25321 ,9 ,35.5 ,1 ,3.9 ,1 ,3.9 ,O 1 O 1 
La Ligua ,37739 ,2 ,5.3 ,0 ,0.0 ,O ,0.0 ,O O O 1 
Limache ,49931 ,23 ,46.1 ,O ,0.0 ,O ,0.0 ,O O O 3 
Llaillay ,26533 ,4 ,15.1 ,2 ,7.5 ,2 ,7.5 ,O O O 1 
Los Andes ,68093 ,9 ,13.2 ,2 ,2.9 ,2 ,2.9 ,
Nogales ,23490 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O 
Olmue ,19266 ,2 ,10.4 ,0 ,0.0 ,O ,0.0 ,
Panquehue ,7633 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,
