,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE SE SE 17 18 19 20 
Corral ,5447 ,3 ,55.1 ,2 ,36.7 ,2 ,36.7 ,0 0 0 ,0 0 0 ,0 1 ,0 0 2 0 
Futrono ,15261 ,5 ,32.8 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 3 1 ,0 0 ,0 0 0 0 
La Union& ,39538 ,40 ,101.2 ,2 ,5.1 ,2 ,5.1 ,0 0 1 ,5 8 4 ,6 9 ,4 2 1 0 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 1 0 ,0 0 ,0 0 0 0 
Lanco ,17652 ,9 ,51.0 ,2 ,11.3 ,2 ,11.3 ,0 0 0 ,0 1 2 ,1 2 ,0 3 0 0 
Los Lagos ,20518 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 ,0 0 ,0 0 0 0 
Mafil ,7389 ,2 ,27.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 0 0 ,0 1 ,0 0 0 0 
Mariquina ,23250 ,11 ,47.3 ,2 ,8.6 ,2 ,8.6 ,0 0 0 ,3 1 4 ,1 0 ,0 0 2 0 
Paillaco ,20798 ,1 ,4.8 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 0 0 ,0 0 ,0 0 O 0 
Panguipulli ,35991 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 ,0 O ,0 0 O 0 
RiO Bueno ,32925 ,12 ,36.4 ,1 ,3.0 ,1 ,3.0 ,0 0 0 ,3 1 2 ,2 1 ,2 1 O 0 
Valdivia8 ,176774 ,122 ,69.0 ,3 ,1.7 ,3 ,1.7 ,0 1 1 ,26 32 25 ,17 8 ,8 4 0 0 
Total ,405835 ,207 ,51.0 ,12 ,3.0 ,12 ,3.0 ,0 1 2 ,41 47 38 ,27 22 ,14 10 5 0 
