,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3132 ,1.8 ,516.4 ,2879 ,1.8 ,493.1 ,6011 ,1.8 ,505.0 
05 09 anos ,2489 ,1.4 ,381.2 ,2353 ,1.4 ,373.8 ,4842 ,1.4 ,377.6 
10 14 anos ,2860 ,1.6 ,444.2 ,2937 ,1.8 ,472.6 ,5797 ,1.7 ,458.2 
15 19 anos ,5016 ,2.9 ,783.0 ,5734 ,3.5 ,925.7 ,10750 ,3.2 ,853.1 
20 24 anos ,13505 ,7.8 ,1842.4 ,13388 ,8.2 ,1885.2 ,26893 ,8.0 ,1863.5 
25 29 anos ,21603 ,12.4 ,2579.9 ,21027 ,12.9 ,2590.2 ,42630 ,12.7 ,2585.0 
30 34 anos ,22065 ,12.7 ,2723.3 ,19698 ,12.1 ,2506.2 ,41763 ,12.4 ,2616.4 
35 39 anos ,18292 ,10.5 ,2521.8 ,15724 ,9.7 ,2215.0 ,34016 ,10.1 ,2370.1 
40 44 anos ,15269 ,8.8 ,2261.1 ,13199 ,8.1 ,1965.0 ,28468 ,8.5 ,2113.4 
45 49 anos ,14857 ,8.6 ,2353.9 ,13864 ,8.5 ,2165.0 ,28721 ,8.5 ,2258.8 
50 54 anos ,14132 ,8.1 ,2351.3 ,13121 ,8.1 ,2104.8 ,27253 ,8.1 ,2225.8 
55 59 anos ,13291 ,7.7 ,2395.4 ,11880 ,7.3 ,2011.5 ,25171 ,7.5 ,2197.4 
60 64 anos ,9925 ,5.7 ,2107.1 ,8376 ,5.2 ,1615.9 ,18301 ,5.4 ,1849.7 
65 69 anos ,6244 ,3.6 ,1647.8 ,5502 ,3.4 ,1262.8 ,11746 ,3.5 ,1441.9 
70 74 anos ,4367 ,2.5 ,1653.7 ,4173 ,2.6 ,1306.9 ,8540 ,2.5 ,1463.9 
75 79 anos ,2987 ,1.7 ,1693.3 ,3153 ,1.9 ,1328.2 ,6140 ,1.8 ,1483.9 
80 y mas anos ,3581 ,2.1 ,1822.2 ,5631 ,3.5 ,1607.4 ,9212 ,2.7 ,1684.6 
Total ,173615 ,100 ,1808.7 ,162639 ,100 ,1649.6 ,336254 ,100 ,1728.1 
