Region,Poblacion,Confirmados,Tasaincidencia
Angol ,56.058 ,15 ,"26,8 "
Carahue ,25.486 ,- ,"11,8 "
Cholcho ,12.341 ,- ,"16,2 "
Collipulli ,26.148 ,- ,"0,0 "
Cunco ,18.055 ,5 ,"27,7 "
Curacautin ,18.178 ,- ,"11,0 "
Curarrehue ,7.802 ,- ,"38,5 "
Ercilla ,8.458 ,- ,"0,0 "
Freire ,25.446 ,5 ,"19,6 "
Galvarino ,12.633 ,- ,"15,8 "
Gorbea ,15.148 ,10 ,"66,0 "
Lautaro ,40.746 ,16 ,"39,3 "
Loncoche ,24.739 ,4 ,"16,2 "
Lonquimay ,11.049 ,- ,"0,0 "
Los Sauces ,7.517 ,- ,"0,0 "
Lumaco ,10.050 ,- ,"0,0 "
Melipeuco ,6.265 ,- ,"0,0 "
Nueva Imperial ,33.777 ,16 ,"47,4 "
Padre Las Casas ,82.110 ,44 ,"53,6 "
Perquenco ,7.223 ,- ,"13,8 "
Pitrufquen ,26.096 ,11 ,"42,2 "
Pucon ,29.782 ,4 ,"13,4 "
Puren ,12.188 ,- ,"16,4 "
Renaico ,10.833 ,- ,"0,0 "
Saavedra ,12.793 ,- ,"7,8 "
Temuco ,302.931 ,365 ,"120,5 "
Teodoro Schmidt ,15.786 ,- ,"19,0 "
Tolten ,10.055 ,5 ,"49,7 "
Traiguen ,19.314 ,- ,"0,0 "
Victoria ,35.467 ,12 ,"33,8 "
Vilcun ,30.766 ,18 ,"58,5 "
Villarrica ,59.103 ,11 ,"18,6 "
Por determinar ,,2 ,
Total ,1.014.343 ,562 ,"55,4 "
