,Fechade,iniciode,sintomas,Fecha,denotificacion,
Fecha ,Confirmada ,No notificada ,Probable ,Confirmada ,No notificada ,Probable 
22-02-2020 ,1 ,,,,,
23-02-2020 ,1 ,,,,,
24-02-2020 ,1 ,,1 ,,,
25-02-2020 ,9 ,,,,,
26-02-2020 ,2 ,,1 ,,,
27-02-2020 ,3 ,,,,,
28-02-2020 ,4 ,,1 ,1 ,,
29-02-2020 ,1 ,,,,,
01-03-2020 ,10 ,,,,,
02-03-2020 ,7 ,,1 ,1 ,,
03-03-2020 ,9 ,,,1 ,,
04-03-2020 ,9 ,,,2 ,,
05-03-2020 ,29 ,,2 ,4 ,,
06-03-2020 ,13 ,,2 ,1 ,,
07-03-2020 ,14 ,,,2 ,,
08-03-2020 ,24 ,,,6 ,,
09-03-2020 ,36 ,,,2 ,,
10-03-2020 ,66 ,1 ,1 ,10 ,1 ,1 
11-03-2020 ,54 ,,,17 ,,
12-03-2020 ,69 ,,2 ,13 ,,
13-03-2020 ,117 ,,1 ,24 ,,
14-03-2020 ,149 ,3 ,,46 ,3 ,
15-03-2020 ,176 ,,3 ,50 ,,
16-03-2020 ,282 ,1 ,2 ,86 ,1 ,1 
17-03-2020 ,257 ,2 ,,148 ,2 ,
18-03-2020 ,270 ,1 ,2 ,112 ,1 ,
19-03-2020 ,294 ,4 ,1 ,153 ,4 ,2 
