,,,,,,,Numero,deCasos,segun,Fechade,Iniciode,Sintomas.,,NotificacionO,Toma,deMuestra,,,,,,
,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Comuna ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 
Alhue & ,0 0 ,O ,O ,O ,1 ,O ,0 ,O ,O ,5 ,1 ,4 ,9 ,15 ,25 ,13 ,18 ,32 ,27 ,18 ,18 ,O 
Buin & ,O 0 ,0 ,5 ,16 ,10 ,13 ,19 ,21 ,62 ,138 ,188 ,231 ,216 ,281 ,268 ,208 ,168 ,165 ,116 ,103 ,58 ,10 
Calera de Tango & ,0 O ,O ,4 ,4 ,1 ,1 ,5 ,1 ,7 ,19 ,32 ,37 ,71 ,72 ,75 ,55 ,77 ,39 ,31 ,18 ,13 ,1 
Cerrillos & ,1 3 ,1 ,4 ,11 ,13 ,21 ,21 ,67 ,228 ,205 ,278 ,316 ,278 ,348 ,339 ,238 ,183 ,157 ,88 ,91 ,85 ,5 
Cerro Navia & ,0 2 ,10 ,16 ,16 ,14 ,38 ,49 ,108 ,269 ,575 ,698 ,738 ,776 ,764 ,649 ,551 ,326 ,268 ,204 ,138 ,88 ,18 
Colina & ,1 3 ,7 ,28 ,15 ,26 ,17 ,25 ,36 ,134 ,372 ,541 ,610 ,615 ,607 ,419 ,341 ,251 ,176 ,148 ,74 ,42 ,8 
Conchali & ,O 2 ,2 ,17 ,14 ,19 ,42 ,74 ,134 ,382 ,632 ,717 ,670 ,647 ,652 ,561 ,461 ,325 ,280 ,197 ,89 ,83 ,12 
Curacavi & ,0 0 ,1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,97 ,137 ,100 ,89 ,65 ,52 ,45 ,45 ,36 ,28 ,7 
EI Bosque & ,0 0 ,1 ,14 ,23 ,33 ,50 ,46 ,88 ,226 ,402 ,553 ,542 ,750 ,835 ,735 ,565 ,480 ,376 ,247 ,204 ,112 ,21 
EI Monte & ,0 O ,1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,75 ,141 ,101 ,127 ,130 ,153 ,101 ,101 ,69 ,31 ,35 ,3 
Estacion Central & ,0 2 ,3 ,12 ,28 ,34 ,42 ,81 ,169 ,379 ,572 ,674 ,685 ,746 ,694 ,563 ,444 ,317 ,218 ,200 ,122 ,85 ,14 
Huechuraba & ,1 0 ,5 ,21 ,11 ,19 ,21 ,33 ,57 ,208 ,375 ,500 ,455 ,423 ,390 ,288 ,306 ,186 ,146 ,108 ,85 ,77 ,8 
Independencia & ,O O ,4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,786 ,779 ,779 ,730 ,565 ,444 ,333 ,215 ,198 ,162 ,109 ,70 ,13 
Isla de Maipo & ,O O ,O ,2 ,2 ,7 ,2 ,O ,4 ,13 ,25 ,38 ,70 ,90 ,103 ,80 ,77 ,78 ,70 ,111 ,120 ,70 ,24 
La Cisterna & ,0 0 ,3 ,11 ,13 ,18 ,19 ,28 ,64 ,121 ,242 ,328 ,315 ,429 ,397 ,311 ,281 ,186 ,121 ,117 ,54 ,58 ,10 
La Florida & ,1 2 ,12 ,31 ,59 ,64 ,81 ,107 ,209 ,596 ,1039 ,1552 ,1732 ,1630 ,1668 ,1191 ,1074 ,810 ,519 ,408 ,273 ,197 ,19 
La Granja & ,O O ,1 ,6 ,15 ,36 ,22 ,21 ,76 ,276 ,615 ,918 ,1027 ,804 ,811 ,643 ,525 ,355 ,349 ,186 ,97 ,85 ,8 
La Pintana & ,1 1 ,3 ,10 ,21 ,35 ,51 ,96 ,163 ,358 ,778 ,939 ,1296 ,1435 ,1408 ,991 ,745 ,559 ,344 ,236 ,219 ,163 ,27 
La Reina & ,0 0 ,12 ,17 ,12 ,18 ,8 ,14 ,41 ,75 ,125 ,221 ,307 ,254 ,247 ,223 ,185 ,129 ,113 ,70 ,48 ,25 ,8 
Lampa & ,O O ,O ,9 ,14 ,15 ,14 ,19 ,54 ,139 ,295 ,348 ,401 ,382 ,440 ,369 ,251 ,190 ,158 ,150 ,109 ,47 ,7 
Las Condes & ,1 18 ,60 ,128 ,69 ,42 ,37 ,34 ,76 ,247 ,503 ,703 ,756 ,685 ,582 ,502 ,370 ,289 ,219 ,139 ,127 ,88 ,12 
Lo Barnechea & ,0 2 ,14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,269 ,401 ,418 ,370 ,444 ,304 ,168 ,122 ,99 ,55 ,62 ,50 ,8 
Lo Espejo & ,O O ,1 ,5 ,9 ,25 ,31 ,21 ,80 ,177 ,346 ,434 ,381 ,514 ,553 ,403 ,358 ,262 ,184 ,147 ,118 ,73 ,15 
Lo Prado & ,0 O ,3 ,6 ,21 ,16 ,24 ,31 ,105 ,197 ,354 ,499 ,513 ,630 ,533 ,492 ,405 ,249 ,208 ,208 ,156 ,62 ,24 
Macul & ,O 1 ,3 ,17 ,23 ,20 ,14 ,24 ,78 ,190 ,439 ,539 ,641 ,558 ,632 ,473 ,373 ,254 ,182 ,152 ,83 ,96 ,16 
Maipu & ,0 1 ,13 ,52 ,73 ,84 ,98 ,116 ,158 ,433 ,909 ,1363 ,1589 ,1687 ,1825 ,1601 ,1265 ,969 ,694 ,530 ,345 ,247 ,33 
