,,,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas.,,Notificaciono,Tomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 ,SE SE SE 24 25 26 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 O ,0 0 ,O 0 ,0 0 ,0 0 0 ,0 0 0 
Cabo de Hornos ,1983 ,21 ,1059.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 2 6 ,4 1 ,6 0 ,0 0 ,1 0 ,1 0 0 ,0 0 0 
Laguna Blanca ,264 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,0 O ,0 0 ,0 0 ,0 0 ,O 0 0 ,0 0 0 
Natales ,23782 ,39 ,164.0 ,0 ,0.0 ,19 ,79.9 ,19 ,79.9 ,0 O 1 3 ,4 O ,1 1 ,O 4 ,O 3 ,3 O 0 ,O 5 14 
Porvenir ,7323 ,10 ,136.6 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,3 1 ,2 2 ,0 0 ,1 0 ,O 0 1 ,0 0 0 
Primavera ,694 ,3 ,432.3 ,O ,0.0 ,1 ,144.1 ,1 ,144.1 ,O O 0 0 ,0 0 ,1 0 ,0 0 ,O 0 ,O 0 1 ,0 1 0 
Punta Arenas& ,141984 ,1304 ,918.4 ,22 ,15.5 ,113 ,79.6 ,113 ,79.6 ,0 2 5 66 ,121 148 ,156 133 ,86 108 ,82 52 ,51 24 35 ,122 81 32 
Rio Verde ,211 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,0 O ,0 0 ,O 0 ,O 0 ,O 0 0 ,0 0 0 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O ,0 O ,0 0 ,0 0 ,2 0 ,O O 0 ,O 0 0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,0 O ,0 O ,O O ,0 0 ,O O 0 ,0 0 0 
Torres del Paine ,1021 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 0 ,0 O ,0 0 ,O O ,0 0 ,O 0 0 ,0 0 0 
Desconocido& ,- ,68 ,- ,O ,- ,2 ,- ,2 ,- ,O 0 0 1 ,0 1 ,42 14 ,4 2 ,1 0 ,O 0 0 ,1 1 1 
Total ,178362 ,1447 ,811.3 ,22 ,12.3 ,135 ,75.7 ,135 ,75.7 ,0 2 8 76 ,132 151 ,208 150 ,90 114 ,87 55 ,55 24 37 ,123 88 47 
