Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 
Alto Hospicio ,& O O O ,3 ,5 ,6 ,14 ,24 ,38 ,112 ,142 ,269 ,318 ,317 ,262 ,210 ,161 ,171 ,111 ,105 ,87 ,16 ,O 
Camina ,O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,3 ,9 ,4 ,2 ,4 ,10 ,4 ,6 ,1 ,O ,O 
Colchane ,& O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,2 ,1 ,10 ,17 ,15 ,15 ,11 ,6 ,2 ,7 ,O 
Huara ,& O O O ,O ,0 ,0 ,O ,O ,2 ,8 ,2 ,10 ,7 ,7 ,10 ,6 ,9 ,12 ,19 ,21 ,14 ,5 ,O 
Iquique ,& O O O ,9 ,7 ,14 ,11 ,21 ,42 ,103 ,259 ,404 ,505 ,460 ,445 ,462 ,422 ,349 ,334 ,277 ,230 ,50 ,O 
Pica ,O O O ,O ,1 ,7 ,14 ,11 ,O ,1 ,4 ,1 ,7 ,8 ,9 ,10 ,10 ,14 ,42 ,37 ,18 ,2 ,O 
Pozo Almonte ,& 0 0 0 ,0 ,1 ,2 ,0 ,O ,O ,3 ,5 ,15 ,38 ,58 ,90 ,104 ,62 ,36 ,74 ,54 ,37 ,2 ,O 
Desconocido ,& O 0 O ,O ,O ,O ,1 ,O ,1 ,5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,23 ,15 ,20 ,36 ,18 ,O 
Total ,0 0 0 ,12 ,14 ,29 ,40 ,56 ,83 ,232 ,507 ,728 ,907 ,885 ,861 ,837 ,703 ,630 ,610 ,526 ,425 ,100 ,0 
