,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Task incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE 15 16 17 ,SE SE SE SE SE SE 18 19 20 21 22 23 
Corral ,5447 ,13 ,238.7 ,2 ,36.7 ,2 ,36.7 ,O 0 0 0 ,0 0 ,0 1 0 ,0 6 4 2 0 0 
Futrono ,15261 ,34 ,222.8 ,20 ,131.1 ,20 ,131.1 ,O 0 0 1 ,3 1 ,O O O ,0 1 5 19 4 0 
La Union ,39538 ,44 ,111.3 ,2 ,5.1 ,2 ,5.1 ,O O 1 5 ,8 4 ,6 9 4 ,2 1 2 O 2 0 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,0 ,0.0 ,O O O 1 ,1 O ,O O O ,O O O O O O 
Lanco ,17652 ,9 ,51.0 ,O ,0.0 ,O ,0.0 ,O O O O ,1 2 ,1 2 O ,3 O O O O 0 
Los Lagos ,20518 ,22 ,107.2 ,21 ,102.3 ,21 ,102.3 ,O O 0 O ,O O ,O 0 O ,0 O 1 12 9 O 
Mafil ,7389 ,3 ,40.6 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O O ,O 1 O ,O O 1 O O O 
Mariquina ,23250 ,16 ,68.8 ,3 ,12.9 ,3 ,12.9 ,O O O 3 ,1 4 ,1 O O ,O 2 1 3 1 O 
Paillaco ,20798 ,25 ,120.2 ,13 ,62.5 ,13 ,62.5 ,O O O 1 ,O O ,O O O ,0 O 8 13 3 O 
Panguipulli ,35991 ,12 ,33.3 ,6 ,16.7 ,6 ,16.7 ,O O 0 O ,O O ,O 0 O ,1 O 3 4 4 O 
Rio Bueno ,32925 ,16 ,48.6 ,3 ,9.1 ,3 ,9.1 ,O O 0 3 ,1 2 ,2 1 2 ,1 O 0 3 1 O 
& Valdivia ,176774 ,174 ,98.4 ,25 ,14.1 ,25 ,14.1 ,O 1 1 25 ,32 25 ,18 8 8 ,4 2 8 29 13 0 
Total ,405835 ,370 ,91.2 ,95 ,23.4 ,95 ,23.4 ,0 1 2 40 ,47 38 ,28 22 14 ,11 12 33 85 37 0 
