Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& ,44143 ,348 ,788.3 ,6 ,13.6 ,51 ,115.5 ,51 ,115.5 
Chanco ,,9331 ,34 ,364.4 ,0 ,0.0 ,5 ,53.6 ,5 ,53.6 
Colbun ,& ,22565 ,146 ,647.0 ,0 ,0.0 ,26 ,115.2 ,26 ,115.2 
Constitucion ,& ,50348 ,230 ,456.8 ,3 ,6.0 ,37 ,73.5 ,37 ,73.5 
Curepto ,,9426 ,39 ,413.7 ,2 ,21.2 ,5 ,53.0 ,5 ,53.0 
Curico ,& ,163626 ,1688 ,1031.6 ,26 ,15.9 ,213 ,130.2 ,211 ,129.0 
Empedrado ,,4206 ,27 ,641.9 ,0 ,0.0 ,1 ,23.8 ,1 ,23.8 
Hualane ,,10222 ,113 ,1105.5 ,2 ,19.6 ,1 ,9.8 ,1 ,9.8 
Licanten ,,6989 ,20 ,286.2 ,1 ,14.3 ,1 ,14.3 ,1 ,14.3 
Linares ,& ,101073 ,534 ,528.3 ,7 ,6.9 ,121 ,119.7 ,121 ,119.7 
Longavi ,& ,32810 ,235 ,716.2 ,2 ,6.1 ,37 ,112.8 ,37 ,112.8 
Maule ,& ,60000 ,325 ,541.7 ,2 ,3.3 ,79 ,131.7 ,78 ,130.0 
Molina ,& ,49800 ,217 ,435.7 ,7 ,14.1 ,35 ,70.3 ,34 ,68.3 
Parral ,& ,44544 ,243 ,545.5 ,2 ,4.5 ,18 ,40.4 ,18 ,40.4 
Pelarco ,,9083 ,53 ,583.5 ,1 ,11.0 ,12 ,132.1 ,12 ,132.1 
Pelluhue ,,8092 ,60 ,741.5 ,1 ,12.4 ,4 ,49.4 ,4 ,49.4 
Pencahue ,,8601 ,50 ,581.3 ,0 ,0.0 ,16 ,186.0 ,16 ,186.0 
Rauco ,& ,11248 ,69 ,613.4 ,0 ,0.0 ,17 ,151.1 ,17 ,151.1 
Retiro ,& ,21071 ,130 ,617.0 ,O ,0.0 ,9 ,42.7 ,9 ,42.7 
Rio Claro ,,14753 ,74 ,501.6 ,5 ,33.9 ,17 ,115.2 ,17 ,115.2 
Romeral ,,16170 ,222 ,1372.9 ,3 ,18.6 ,18 ,111.3 ,18 ,111.3 
